Procedure_Description,CPT_Code,Cash_Price,Gross_Price
All Services for Outpatient Surgery for Amputation of finger/thumb,26951,,"$4,308.71 "
All Services for Outpatient Surgery for Amputation of finger/thumb,26952,,"$4,308.71 "
All Services for Outpatient Surgery for Hand/finger surgery,26989,,$320.63 
All Services for Outpatient Surgery for Drainage of pelvis lesion,26990,,"$4,308.71 "
All Services for Outpatient Surgery for Drainage of pelvis bursa,26991,,"$2,121.54 "
All Services for Outpatient Surgery for Drainage of bone lesion,26992,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of hip tendon,27000,,"$2,121.54 "
All Services for Outpatient Surgery for Incision of hip tendon,27001,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of hip tendon,27003,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of hip tendon,27005,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of hip tendons,27006,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of hip/thigh fascia,27025,,"$9,521.03 "
All Services for Outpatient Surgery for Buttock fasciotomy,27027,,"$9,521.03 "
All Services for Outpatient Surgery for Drainage of hip joint,27030,,"$9,521.03 "
All Services for Outpatient Surgery for Exploration of hip joint,27033,,"$9,521.03 "
All Services for Outpatient Surgery for Denervation of hip joint,27035,,"$4,308.71 "
All Services for Outpatient Surgery for Excision of hip joint/muscle,27036,,"$9,521.03 "
All Services for Outpatient Surgery for Biopsy of soft tissues,27040,,"$2,135.43 "
All Services for Outpatient Surgery for Biopsy of soft tissues,27041,,"$2,135.43 "
All Services for Outpatient Surgery for Exc hip pelvis les sc 3 cm/>,27043,,"$3,556.81 "
All Services for Outpatient Surgery for Exc hip/pelv tum deep 5 cm/>,27045,,"$3,556.81 "
All Services for Outpatient Surgery for Exc hip/pelvis les sc < 3 cm,27047,,"$3,556.81 "
All Services for Outpatient Surgery for Exc hip/pelv tum deep < 5 cm,27048,,"$3,556.81 "
All Services for Outpatient Surgery for Resect hip/pelv tum < 5 cm,27049,,"$3,556.81 "
All Services for Outpatient Surgery for Biopsy of sacroiliac joint,27050,,"$2,121.54 "
All Services for Outpatient Surgery for Biopsy of hip joint,27052,,"$2,121.54 "
All Services for Outpatient Surgery for Removal of hip joint lining,27054,,"$4,308.71 "
All Services for Outpatient Surgery for Buttock fasciotomy w/dbrdmt,27057,,"$2,121.54 "
All Services for Outpatient Surgery for Resect hip/pelv tum 5 cm/>,27059,,"$3,556.81 "
All Services for Outpatient Surgery for Removal of ischial bursa,27060,,"$9,521.03 "
All Services for Outpatient Surgery for Remove femur lesion/bursa,27062,,"$4,308.71 "
All Services for Outpatient Surgery for Remove hip bone les super,27065,,"$9,521.03 "
All Services for Outpatient Surgery for Remove hip bone les deep,27066,,"$4,308.71 "
All Services for Outpatient Surgery for Remove/graft hip bone lesion,27067,,"$9,521.03 "
All Services for Outpatient Surgery for Part remove hip bone super,27070,,"$9,521.03 "
All Services for Outpatient Surgery for Part removal hip bone deep,27071,,"$9,521.03 "
All Services for Outpatient Surgery for Resect hip tumor,27075,,"$9,521.03 "
All Services for Outpatient Surgery for Resect hip tum incl acetabul,27076,,"$9,521.03 "
All Services for Outpatient Surgery for Resect hip tum w/innom bone,27077,,"$18,775.05 "
All Services for Outpatient Surgery for Rsect hip tum incl femur,27078,,"$18,775.05 "
All Services for Outpatient Surgery for Removal of tail bone,27080,,"$4,308.71 "
All Services for Outpatient Surgery for Remove hip foreign body,27086,,"$3,556.81 "
All Services for Outpatient Surgery for Remove hip foreign body,27087,,"$4,308.71 "
All Services for Outpatient Surgery for Removal of hip prosthesis,27090,,"$3,556.81 "
All Services for Outpatient Surgery for Removal of hip prosthesis,27091,,"$3,556.81 "
All Services for Outpatient Surgery for Revision of hip tendon,27097,,"$4,308.71 "
All Services for Outpatient Surgery for Transfer tendon to pelvis,27098,,"$4,308.71 "
All Services for Outpatient Surgery for Transfer of abdominal muscle,27100,,"$9,521.03 "
All Services for Outpatient Surgery for Transfer of spinal muscle,27105,,"$4,308.71 "
All Services for Outpatient Surgery for Transfer of iliopsoas muscle,27110,,"$9,521.03 "
All Services for Outpatient Surgery for Transfer of iliopsoas muscle,27111,,"$4,308.71 "
All Services for Outpatient Surgery for Reconstruction of hip socket,27120,,"$18,775.05 "
All Services for Outpatient Surgery for Reconstruction of hip socket,27122,,"$18,775.05 "
All Services for Outpatient Surgery for Partial hip replacement,27125,,"$18,775.05 "
All Services for Outpatient Surgery for Total hip arthroplasty,27130,,"$18,775.05 "
All Services for Outpatient Surgery for Total hip arthroplasty,27132,,"$18,775.05 "
All Services for Outpatient Surgery for Revise hip joint replacement,27134,,"$18,775.05 "
All Services for Outpatient Surgery for Revise hip joint replacement,27137,,"$18,775.05 "
All Services for Outpatient Surgery for Revise hip joint replacement,27138,,"$18,775.05 "
All Services for Outpatient Surgery for Transplant femur ridge,27140,,"$18,775.05 "
All Services for Outpatient Surgery for Incision of hip bone,27146,,"$9,521.03 "
All Services for Outpatient Surgery for Revision of hip bone,27147,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of hip bones,27151,,"$9,521.03 "
All Services for Outpatient Surgery for Revision of hip bones,27156,,"$9,521.03 "
All Services for Outpatient Surgery for Revision of pelvis,27158,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of neck of femur,27161,,"$9,521.03 "
All Services for Outpatient Surgery for Incision/fixation of femur,27165,,"$9,521.03 "
All Services for Outpatient Surgery for Repair/graft femur head/neck,27170,,"$9,521.03 "
All Services for Outpatient Surgery for Treat slipped epiphysis,27175,,"$9,521.03 "
All Services for Outpatient Surgery for Treat slipped epiphysis,27176,,"$18,775.05 "
All Services for Outpatient Surgery for Treat slipped epiphysis,27177,,"$9,521.03 "
All Services for Outpatient Surgery for Treat slipped epiphysis,27178,,"$9,521.03 "
All Services for Outpatient Surgery for Revise head/neck of femur,27179,,"$9,521.03 "
All Services for Outpatient Surgery for Treat slipped epiphysis,27181,,"$9,521.03 "
All Services for Outpatient Surgery for Revision of femur epiphysis,27185,,"$9,521.03 "
All Services for Outpatient Surgery for Reinforce hip bones,27187,,"$9,521.03 "
All Services for Outpatient Surgery for Clsd tx pelvic ring fx,27197,,$320.63 
All Services for Outpatient Surgery for Clsd tx pelvic ring fx,27198,,$320.63 
All Services for Outpatient Surgery for Treat tail bone fracture,27200,,$320.63 
All Services for Outpatient Surgery for Treat tail bone fracture,27202,,"$4,308.71 "
All Services for Outpatient Surgery for Treat hip socket fracture,27220,,$320.63 
All Services for Outpatient Surgery for Treat hip socket fracture,27222,,$320.63 
All Services for Outpatient Surgery for Treat hip wall fracture,27226,,"$9,521.03 "
All Services for Outpatient Surgery for Treat hip fracture(s),27227,,"$9,521.03 "
All Services for Outpatient Surgery for Treat hip fracture(s),27228,,"$9,521.03 "
All Services for Outpatient Surgery for Treat thigh fracture,27230,,$320.63 
All Services for Outpatient Surgery for Treat thigh fracture,27232,,"$2,121.54 "
All Services for Outpatient Surgery for Treat thigh fracture,27235,,"$9,521.03 "
All Services for Outpatient Surgery for Treat thigh fracture,27236,,"$9,521.03 "
All Services for Outpatient Surgery for Treat thigh fracture,27238,,"$2,121.54 "
All Services for Outpatient Surgery for Treat thigh fracture,27240,,"$2,121.54 "
All Services for Outpatient Surgery for Treat thigh fracture,27244,,"$9,521.03 "
All Services for Outpatient Surgery for Treat thigh fracture,27245,,"$9,521.03 "
All Services for Outpatient Surgery for Treat thigh fracture,27246,,$320.63 
All Services for Outpatient Surgery for Treat thigh fracture,27248,,"$9,521.03 "
All Services for Outpatient Surgery for Treat hip dislocation,27250,,$320.63 
All Services for Outpatient Surgery for Treat hip dislocation,27252,,"$2,121.54 "
All Services for Outpatient Surgery for Treat hip dislocation,27253,,"$4,308.71 "
All Services for Outpatient Surgery for Treat hip dislocation,27254,,"$4,308.71 "
All Services for Outpatient Surgery for Treat hip dislocation,27256,,$320.63 
All Services for Outpatient Surgery for Treat hip dislocation,27257,,"$2,121.54 "
All Services for Outpatient Surgery for Treat hip dislocation,27258,,"$4,308.71 "
All Services for Outpatient Surgery for Treat hip dislocation,27259,,"$4,308.71 "
All Services for Outpatient Surgery for Treat hip dislocation,27265,,$320.63 
All Services for Outpatient Surgery for Treat hip dislocation,27266,,"$2,121.54 "
All Services for Outpatient Surgery for Cltx thigh fx,27267,,"$4,308.71 "
All Services for Outpatient Surgery for Cltx thigh fx w/mnpj,27268,,"$4,308.71 "
All Services for Outpatient Surgery for Optx thigh fx,27269,,"$2,121.54 "
All Services for Outpatient Surgery for Manipulation of hip joint,27275,,"$2,121.54 "
All Services for Outpatient Surgery for Arthrodesis sacroiliac joint,27279,,"$24,377.41 "
All Services for Outpatient Surgery for Fusion of sacroiliac joint,27280,,"$24,377.41 "
All Services for Outpatient Surgery for Fusion of pubic bones,27282,,"$18,775.05 "
All Services for Outpatient Surgery for Fusion of hip joint,27284,,"$24,377.41 "
All Services for Outpatient Surgery for Fusion of hip joint,27286,,"$24,377.41 "
All Services for Outpatient Surgery for Amputation of leg at hip,27290,,"$24,377.41 "
All Services for Outpatient Surgery for Amputation of leg at hip,27295,,"$24,377.41 "
All Services for Outpatient Surgery for Pelvis/hip joint surgery,27299,,$320.63 
All Services for Outpatient Surgery for Drain thigh/knee lesion,27301,,"$3,556.81 "
All Services for Outpatient Surgery for Drainage of bone lesion,27303,,"$9,521.03 "
All Services for Outpatient Surgery for Incise thigh tendon & fascia,27305,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of thigh tendon,27306,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of thigh tendons,27307,,"$4,308.71 "
All Services for Outpatient Surgery for Exploration of knee joint,27310,,"$4,308.71 "
All Services for Outpatient Surgery for Biopsy thigh soft tissues,27323,,"$2,135.43 "
All Services for Outpatient Surgery for Biopsy thigh soft tissues,27324,,"$3,556.81 "
All Services for Outpatient Surgery for Neurectomy hamstring,27325,,"$2,663.37 "
All Services for Outpatient Surgery for Neurectomy popliteal,27326,,"$2,663.37 "
All Services for Outpatient Surgery for Exc thigh/knee les sc < 3 cm,27327,,"$2,135.43 "
All Services for Outpatient Surgery for Exc thigh/knee tum deep <5cm,27328,,"$3,556.81 "
All Services for Outpatient Surgery for Resect thigh/knee tum < 5 cm,27329,,"$3,556.81 "
All Services for Outpatient Surgery for Biopsy knee joint lining,27330,,"$4,308.71 "
All Services for Outpatient Surgery for Explore/treat knee joint,27331,,"$4,308.71 "
All Services for Outpatient Surgery for Removal of knee cartilage,27332,,"$4,308.71 "
All Services for Outpatient Surgery for Removal of knee cartilage,27333,,"$4,308.71 "
All Services for Outpatient Surgery for Remove knee joint lining,27334,,"$4,308.71 "
All Services for Outpatient Surgery for Remove knee joint lining,27335,,"$9,521.03 "
All Services for Outpatient Surgery for Exc thigh/knee les sc 3 cm/>,27337,,"$3,556.81 "
All Services for Outpatient Surgery for Exc thigh/knee tum dep 5cm/>,27339,,"$3,556.81 "
All Services for Outpatient Surgery for Removal of kneecap bursa,27340,,"$4,308.71 "
All Services for Outpatient Surgery for Removal of knee cyst,27345,,"$4,308.71 "
All Services for Outpatient Surgery for Remove knee cyst,27347,,"$4,308.71 "
All Services for Outpatient Surgery for Removal of kneecap,27350,,"$9,521.03 "
All Services for Outpatient Surgery for Remove femur lesion,27355,,"$4,308.71 "
All Services for Outpatient Surgery for Remove femur lesion/graft,27356,,"$18,775.05 "
All Services for Outpatient Surgery for Remove femur lesion/graft,27357,,"$9,521.03 "
All Services for Outpatient Surgery for Partial removal leg bone(s),27360,,"$4,308.71 "
All Services for Outpatient Surgery for Resect thigh/knee tum 5 cm/>,27364,,"$3,556.81 "
All Services for Outpatient Surgery for Resect femur/knee tumor,27365,,"$9,521.03 "
All Services for Outpatient Surgery for Removal of foreign body,27372,,"$3,556.81 "
All Services for Outpatient Surgery for Repair of kneecap tendon,27380,,"$9,521.03 "
All Services for Outpatient Surgery for Repair/graft kneecap tendon,27381,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of thigh muscle,27385,,"$9,521.03 "
All Services for Outpatient Surgery for Repair/graft of thigh muscle,27386,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of thigh tendon,27390,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of thigh tendons,27391,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of thigh tendons,27392,,"$4,308.71 "
All Services for Outpatient Surgery for Lengthening of thigh tendon,27393,,"$9,521.03 "
All Services for Outpatient Surgery for Lengthening of thigh tendons,27394,,"$9,521.03 "
All Services for Outpatient Surgery for Lengthening of thigh tendons,27395,,"$4,308.71 "
All Services for Outpatient Surgery for Transplant of thigh tendon,27396,,"$9,521.03 "
All Services for Outpatient Surgery for Transplants of thigh tendons,27397,,"$9,521.03 "
All Services for Outpatient Surgery for Revise thigh muscles/tendons,27400,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of knee cartilage,27403,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of knee ligament,27405,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of knee ligament,27407,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of knee ligaments,27409,,"$9,521.03 "
All Services for Outpatient Surgery for Autochondrocyte implant knee,27412,,"$9,521.03 "
All Services for Outpatient Surgery for Osteochondral knee allograft,27415,,"$18,775.05 "
All Services for Outpatient Surgery for Osteochondral knee autograft,27416,,"$9,521.03 "
All Services for Outpatient Surgery for Repair degenerated kneecap,27418,,"$9,521.03 "
All Services for Outpatient Surgery for Revision of unstable kneecap,27420,,"$9,521.03 "
All Services for Outpatient Surgery for Revision of unstable kneecap,27422,,"$9,521.03 "
All Services for Outpatient Surgery for Revision/removal of kneecap,27424,,"$9,521.03 "
All Services for Outpatient Surgery for Lat retinacular release open,27425,,"$4,308.71 "
All Services for Outpatient Surgery for Reconstruction knee,27427,,"$9,521.03 "
All Services for Outpatient Surgery for Reconstruction knee,27428,,"$18,775.05 "
All Services for Outpatient Surgery for Reconstruction knee,27429,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of thigh muscles,27430,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of knee joint,27435,,"$4,308.71 "
All Services for Outpatient Surgery for Revise kneecap,27437,,"$9,521.03 "
All Services for Outpatient Surgery for Revise kneecap with implant,27438,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of knee joint,27440,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of knee joint,27441,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of knee joint,27442,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of knee joint,27443,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of knee joint,27445,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of knee joint,27446,,"$18,775.05 "
All Services for Outpatient Surgery for Total knee arthroplasty,27447,,"$18,775.05 "
All Services for Outpatient Surgery for Incision of thigh,27448,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of thigh,27450,,"$9,521.03 "
All Services for Outpatient Surgery for Realignment of thigh bone,27454,,"$9,521.03 "
All Services for Outpatient Surgery for Realignment of knee,27455,,"$9,521.03 "
All Services for Outpatient Surgery for Realignment of knee,27457,,"$9,521.03 "
All Services for Outpatient Surgery for Shortening of thigh bone,27465,,"$9,521.03 "
All Services for Outpatient Surgery for Lengthening of thigh bone,27466,,"$9,521.03 "
All Services for Outpatient Surgery for Shorten/lengthen thighs,27468,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of thigh,27470,,"$9,521.03 "
All Services for Outpatient Surgery for Repair/graft of thigh,27472,,"$9,521.03 "
All Services for Outpatient Surgery for Surgery to stop leg growth,27475,,"$9,521.03 "
All Services for Outpatient Surgery for Surgery to stop leg growth,27477,,"$9,521.03 "
All Services for Outpatient Surgery for Surgery to stop leg growth,27479,,"$9,521.03 "
All Services for Outpatient Surgery for Surgery to stop leg growth,27485,,"$9,521.03 "
All Services for Outpatient Surgery for Revise/replace knee joint,27486,,"$18,775.05 "
All Services for Outpatient Surgery for Revise/replace knee joint,27487,,"$18,775.05 "
All Services for Outpatient Surgery for Removal of knee prosthesis,27488,,"$9,521.03 "
All Services for Outpatient Surgery for Reinforce thigh,27495,,"$9,521.03 "
All Services for Outpatient Surgery for Decompression of thigh/knee,27496,,"$4,308.71 "
All Services for Outpatient Surgery for Decompression of thigh/knee,27497,,"$4,308.71 "
All Services for Outpatient Surgery for Decompression of thigh/knee,27498,,"$2,121.54 "
All Services for Outpatient Surgery for Decompression of thigh/knee,27499,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27500,,$320.63 
All Services for Outpatient Surgery for Treatment of thigh fracture,27501,,$320.63 
All Services for Outpatient Surgery for Treatment of thigh fracture,27502,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27503,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27506,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27507,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27508,,$320.63 
All Services for Outpatient Surgery for Treatment of thigh fracture,27509,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27510,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27511,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27513,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of thigh fracture,27514,,"$9,521.03 "
All Services for Outpatient Surgery for Treat thigh fx growth plate,27516,,$320.63 
All Services for Outpatient Surgery for Treat thigh fx growth plate,27517,,"$2,121.54 "
All Services for Outpatient Surgery for Treat thigh fx growth plate,27519,,"$9,521.03 "
All Services for Outpatient Surgery for Treat kneecap fracture,27520,,$320.63 
All Services for Outpatient Surgery for Treat kneecap fracture,27524,,"$9,521.03 "
All Services for Outpatient Surgery for Treat knee fracture,27530,,$320.63 
All Services for Outpatient Surgery for Treat knee fracture,27532,,"$4,308.71 "
All Services for Outpatient Surgery for Treat knee fracture,27535,,"$9,521.03 "
All Services for Outpatient Surgery for Treat knee fracture,27536,,"$9,521.03 "
All Services for Outpatient Surgery for Treat knee fracture(s),27538,,$320.63 
All Services for Outpatient Surgery for Treat knee fracture,27540,,"$9,521.03 "
All Services for Outpatient Surgery for Treat knee dislocation,27550,,$320.63 
All Services for Outpatient Surgery for Treat knee dislocation,27552,,"$2,121.54 "
All Services for Outpatient Surgery for Treat knee dislocation,27556,,"$9,521.03 "
All Services for Outpatient Surgery for Treat knee dislocation,27557,,"$9,521.03 "
All Services for Outpatient Surgery for Treat knee dislocation,27558,,"$9,521.03 "
All Services for Outpatient Surgery for Treat kneecap dislocation,27560,,$320.63 
All Services for Outpatient Surgery for Treat kneecap dislocation,27562,,$320.63 
All Services for Outpatient Surgery for Treat kneecap dislocation,27566,,"$9,521.03 "
All Services for Outpatient Surgery for Fixation of knee joint,27570,,"$2,121.54 "
All Services for Outpatient Surgery for Fusion of knee,27580,,"$18,775.05 "
All Services for Outpatient Surgery for Amputate leg at thigh,27590,,"$24,377.41 "
All Services for Outpatient Surgery for Amputate leg at thigh,27591,,"$24,377.41 "
All Services for Outpatient Surgery for Amputate leg at thigh,27592,,"$24,377.41 "
All Services for Outpatient Surgery for Amputation follow-up surgery,27594,,"$4,308.71 "
All Services for Outpatient Surgery for Amputation follow-up surgery,27596,,"$9,521.03 "
All Services for Outpatient Surgery for Amputate lower leg at knee,27598,,"$18,775.05 "
All Services for Outpatient Surgery for Leg surgery procedure,27599,,$320.63 
All Services for Outpatient Surgery for Decompression of lower leg,27600,,"$4,308.71 "
All Services for Outpatient Surgery for Decompression of lower leg,27601,,"$4,308.71 "
All Services for Outpatient Surgery for Decompression of lower leg,27602,,"$4,308.71 "
All Services for Outpatient Surgery for Drain lower leg lesion,27603,,"$3,556.81 "
All Services for Outpatient Surgery for Drain lower leg bursa,27604,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of achilles tendon,27605,,"$2,121.54 "
All Services for Outpatient Surgery for Incision of achilles tendon,27606,,"$4,308.71 "
All Services for Outpatient Surgery for Treat lower leg bone lesion,27607,,"$4,308.71 "
All Services for Outpatient Surgery for Explore/treat ankle joint,27610,,"$4,308.71 "
All Services for Outpatient Surgery for Exploration of ankle joint,27612,,"$4,308.71 "
All Services for Outpatient Surgery for Biopsy lower leg soft tissue,27613,,"$2,135.43 "
All Services for Outpatient Surgery for Biopsy lower leg soft tissue,27614,,"$3,556.81 "
All Services for Outpatient Surgery for Resect leg/ankle tum < 5 cm,27615,,"$3,556.81 "
All Services for Outpatient Surgery for Resect leg/ankle tum 5 cm/>,27616,,"$3,556.81 "
All Services for Outpatient Surgery for Exc leg/ankle tum < 3 cm,27618,,"$2,135.43 "
All Services for Outpatient Surgery for Exc leg/ankle tum deep <5 cm,27619,,"$3,556.81 "
All Services for Outpatient Surgery for Explore/treat ankle joint,27620,,"$4,308.71 "
All Services for Outpatient Surgery for Remove ankle joint lining,27625,,"$4,308.71 "
All Services for Outpatient Surgery for Remove ankle joint lining,27626,,"$4,308.71 "
All Services for Outpatient Surgery for Removal of tendon lesion,27630,,"$4,308.71 "
All Services for Outpatient Surgery for Exc leg/ankle les sc 3 cm/>,27632,,"$3,556.81 "
All Services for Outpatient Surgery for Exc leg/ankle tum dep 5 cm/>,27634,,"$3,556.81 "
All Services for Outpatient Surgery for Remove lower leg bone lesion,27635,,"$4,308.71 "
All Services for Outpatient Surgery for Remove/graft leg bone lesion,27637,,"$9,521.03 "
All Services for Outpatient Surgery for Remove/graft leg bone lesion,27638,,"$9,521.03 "
All Services for Outpatient Surgery for Partial removal of tibia,27640,,"$4,308.71 "
All Services for Outpatient Surgery for Partial removal of fibula,27641,,"$4,308.71 "
All Services for Outpatient Surgery for Resect tibia tumor,27645,,"$9,521.03 "
All Services for Outpatient Surgery for Resect fibula tumor,27646,,"$9,521.03 "
All Services for Outpatient Surgery for Resect talus/calcaneus tum,27647,,"$4,308.71 "
All Services for Outpatient Surgery for Repair achilles tendon,27650,,"$10,796.00 "
All Services for Outpatient Surgery for Repair/graft achilles tendon,27652,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of achilles tendon,27654,,"$9,521.03 "
All Services for Outpatient Surgery for Repair leg fascia defect,27656,,"$4,308.71 "
All Services for Outpatient Surgery for Repair of leg tendon each,27658,,"$4,308.71 "
All Services for Outpatient Surgery for Repair of leg tendon each,27659,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of leg tendon each,27664,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of leg tendon each,27665,,"$9,521.03 "
All Services for Outpatient Surgery for Repair lower leg tendons,27675,,"$4,308.71 "
All Services for Outpatient Surgery for Repair lower leg tendons,27676,,"$9,521.03 "
All Services for Outpatient Surgery for Release of lower leg tendon,27680,,"$4,308.71 "
All Services for Outpatient Surgery for Release of lower leg tendons,27681,,"$4,308.71 "
All Services for Outpatient Surgery for Revision of lower leg tendon,27685,,"$4,308.71 "
All Services for Outpatient Surgery for Revise lower leg tendons,27686,,"$4,308.71 "
All Services for Outpatient Surgery for Revision of calf tendon,27687,,"$4,308.71 "
All Services for Outpatient Surgery for Revise lower leg tendon,27690,,"$9,521.03 "
All Services for Outpatient Surgery for Revise lower leg tendon,27691,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of ankle ligament,27695,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of ankle ligaments,27696,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of ankle ligament,27698,,"$10,741.00 "
All Services for Outpatient Surgery for Revision of ankle joint,27700,,"$9,521.03 "
All Services for Outpatient Surgery for Reconstruct ankle joint,27702,,"$18,775.05 "
All Services for Outpatient Surgery for Reconstruction ankle joint,27703,,"$18,775.05 "
All Services for Outpatient Surgery for Removal of ankle implant,27704,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of tibia,27705,,"$9,521.03 "
All Services for Outpatient Surgery for Incision of fibula,27707,,"$4,308.71 "
All Services for Outpatient Surgery for Incision of tibia & fibula,27709,,"$18,775.05 "
All Services for Outpatient Surgery for Realignment of lower leg,27712,,"$18,775.05 "
All Services for Outpatient Surgery for Revision of lower leg,27715,,"$18,775.05 "
All Services for Outpatient Surgery for Repair of tibia,27720,,"$9,521.03 "
All Services for Outpatient Surgery for Repair/graft of tibia,27722,,"$9,521.03 "
All Services for Outpatient Surgery for Repair/graft of tibia,27724,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of lower leg,27725,,"$9,521.03 "
All Services for Outpatient Surgery for Repair fibula nonunion,27726,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of lower leg,27727,,"$9,521.03 "
All Services for Outpatient Surgery for Repair of tibia epiphysis,27730,,"$4,308.71 "
All Services for Outpatient Surgery for Repair of fibula epiphysis,27732,,"$4,308.71 "
All Services for Outpatient Surgery for Repair lower leg epiphyses,27734,,"$4,308.71 "
All Services for Outpatient Surgery for Repair of leg epiphyses,27740,,"$4,308.71 "
All Services for Outpatient Surgery for Repair of leg epiphyses,27742,,"$4,308.71 "
All Services for Outpatient Surgery for Reinforce tibia,27745,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of tibia fracture,27750,,$320.63 
All Services for Outpatient Surgery for Treatment of tibia fracture,27752,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of tibia fracture,27756,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of tibia fracture,27758,,"$18,775.05 "
All Services for Outpatient Surgery for Treatment of tibia fracture,27759,,"$18,775.05 "
All Services for Outpatient Surgery for Cltx medial ankle fx,27760,,$320.63 
All Services for Outpatient Surgery for Cltx med ankle fx w/mnpj,27762,,"$2,121.54 "
All Services for Outpatient Surgery for Optx medial ankle fx,27766,,"$9,521.03 "
All Services for Outpatient Surgery for Cltx post ankle fx,27767,,$320.63 
All Services for Outpatient Surgery for Cltx post ankle fx w/mnpj,27768,,"$2,121.54 "
All Services for Outpatient Surgery for Optx post ankle fx,27769,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of fibula fracture,27780,,$320.63 
All Services for Outpatient Surgery for Treatment of fibula fracture,27781,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of fibula fracture,27784,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of ankle fracture,27786,,$320.63 
All Services for Outpatient Surgery for Treatment of ankle fracture,27788,,$320.63 
All Services for Outpatient Surgery for Treatment of ankle fracture,27792,,"$12,011.00 "
All Services for Outpatient Surgery for Treatment of ankle fracture,27808,,$320.63 
All Services for Outpatient Surgery for Treatment of ankle fracture,27810,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of ankle fracture,27814,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of ankle fracture,27816,,$320.63 
All Services for Outpatient Surgery for Treatment of ankle fracture,27818,,"$2,121.54 "
All Services for Outpatient Surgery for Treatment of ankle fracture,27822,,"$9,521.03 "
All Services for Outpatient Surgery for Treatment of ankle fracture,27823,,"$9,521.03 "
All Services for Outpatient Surgery for Treat lower leg fracture,27824,,$320.63 
All Services for Outpatient Surgery for Treat lower leg fracture,27825,,"$2,121.54 "
All Services for Outpatient Surgery for Treat lower leg fracture,27826,,"$9,521.03 "
All Services for Outpatient Surgery for Treat lower leg fracture,27827,,"$18,775.05 "
All Services for Outpatient Surgery for Treat lower leg fracture,27828,,"$18,775.05 "
All Services for Outpatient Surgery for Treat lower leg joint,27829,,"$9,521.03 "
All Services for Outpatient Surgery for Treat lower leg dislocation,27830,,$320.63 
All Services for Outpatient Surgery for Treat lower leg dislocation,27831,,"$4,308.71 "
All Services for Outpatient Surgery for Treat lower leg dislocation,27832,,"$9,521.03 "
All Services for Outpatient Surgery for Treat ankle dislocation,27840,,$320.63 
All Services for Outpatient Surgery for Treat ankle dislocation,27842,,"$2,121.54 "
