Charge Number,Procedure Name,Procedure Code (CPT/HCPCS),Default Modifier,Gross Charge,Discounted Cash Charge ,Hospital Inpatient / Outpatient / Both
87260,"INFECT ANTIGEN DETECTION/DFA, ADENOVIRUS",87260,, $43.00 , $24.94 ,Both
87265,"INFECT ANTIGEN DETECTION/DFA, PERTUSSIS",87265,, $36.00 , $20.88 ,Both
87270,"INFECT ANTIGEN DETECTION/DFA,CH TRACMATS",87270,, $36.00 , $20.88 ,Both
87272,"INFECT ANTIGEN DETECTION/DFA,CRYPTOSPRDM",87272,, $36.00 , $20.88 ,Both
87274,"INFECT ANTIGEN DETECTION/DFA,H S VIRUS",87274,, $36.00 , $20.88 ,Both
87276,"INFECT ANTIGEN DETECTION/DFA,INF A VIRUS",87276,, $48.00 , $27.84 ,Both
87278,"INFECT ANTIGEN DETECTION/DFA,LEGIONELLA",87278,, $47.00 , $27.26 ,Both
87301,"INFECT ANTIGEN DETECTION/EIA, ADENOVIRUS",87301,, $36.00 , $20.88 ,Both
87320,"INFECT ANTIGEN DETECTION/EIA,CH TRACMATS",87320,, $45.00 , $26.10 ,Both
87324,"INFECT ANTIGEN DETECTION/EIA,CLOSTRIDIUM",87324,, $36.00 , $20.88 ,Both
87328,"INFECT ANTIGEN DETECTION/EIA,CRYPTOSPRDM",87328,, $41.00 , $23.78 ,Both
87332,"INFECT ANTIGEN DETECTION/EIA,CYTOMEGALVS",87332,, $36.00 , $20.88 ,Both
87335,"INFECT ANTIGEN DETECTION/EIA,E.COLI 0157",87335,, $38.00 , $22.04 ,Both
87340,"INFECT ANTIGEN DETECTION/EIA,HEP B SRFC",87340,, $31.00 , $17.98 ,Both
87350,"INFECT ANTIGEN DETECTION/EIA,HEP BE ANTG",87350,, $35.00 , $20.30 ,Both
87380,"INFECT ANTIGEN DETECTION/EIA,HEP DELTA",87380,, $55.00 , $31.90 ,Both
87385,"INFECT ANTIGEN DETECTION/EIA,HISTOPLASMA",87385,, $40.00 , $23.20 ,Both
87391,"INFECTIOUS AGENT ANTIGEN DETECTION, EIA",87391,, $66.00 , $38.28 ,Both
87390,INFECTIOUS AGENT ANTIGEN DETECTION/EIA,87390,, $72.00 , $41.76 ,Both
87801,"INFECTIOUS AGENT DETECTION BY DNA/RNA, A",87801,, $210.00 , $121.80 ,Both
87800,"INFECTIOUS AGENT DETECTION BY DNA/RNA,D",87800,, $131.00 , $75.98 ,Both
87624,"INFECTIOUS AGENT DETECTION BY DNA/RNA/HPV, HIGH-RISK TYPES",87624,, $105.00 , $60.90 ,Both
87623,"INFECTIOUS AGENT DETECTION DNA OR RNA);(HPV), LOW-RISK TYPES",87623,, $105.00 , $60.90 ,Both
87502,INFECTIOUS AGENT DNA/RNA INFLUENZA 1ST 2 TYPES,87502,, $287.00 , $166.46 ,Both
87501,INFECTIOUS AGENT DNA/RNA INFLUENZA EA TYPE,87501,, $154.00 , $89.32 ,Both
87905,INFECTIOUS AGENT ENZYMATIC ACTV OTH/THN,87905,, $37.00 , $21.46 ,Both
M010469182,"INFINITY, POLY, SZ 7, 8MM THCK, TOTAL ANKLE (33655508)",C1776,," $1,985.85 "," $1,151.79 ",Both
M010463693,"INFINITY, TALAR DOME, SZ 5, TOTAL ANKLE (33630025)",C1776,," $4,591.20 "," $2,662.90 ",Both
M010469181,"INFINITY, TIBIAL TRAY, SZ 5 LONG, TOTAL ANKLE (33650015)",C1776,," $5,041.20 "," $2,923.90 ",Both
M0215606,"INFLATION DEVICE, F/NUVENT BALLN, F/NAVIG (18INFKIT)",C1726,, $442.26 , $256.51 ,Both
90686,"INFLUENZA  VACCINE, QUAD (IIV4) PRESERV FREE, 0.5ML DOSE, IM",90686,, $20.00 , $11.60 ,Both
P9045636,INFUSION ALBUMIN (HUMAN) 5% 250 ML,P9045,, $177.00 , $102.66 ,Both
J7070258,"INFUSION, D-5-W, 1,000 CC, FAC FEE",J7070,, $15.76 , $9.14 ,Both
J7030258,"INFUSION, NORMAL SALINE, 1,000 CC, FAC FEE",J7030,, $5.73 , $3.32 ,Both
J7050258,"INFUSION, NORMAL SALINE, 250 CC, FAC FEE",J7050,, $4.83 , $2.80 ,Both
77750,INFUSION/INSTILLATION RADIOLELEMENT,77750,TC, $485.00 , $281.30 ,Both
95079,"INGESTION CHALLENGE, EA ADD'L 60 MINUTES",95079,, $287.00 , $166.46 ,Both
95076,"INGESTION CHALLENGE, INITITAL 120 MINUTES",95076,, $410.00 , $237.80 ,Both
94640450,"INHALATION TREATMENT, ER FEE",94640,, $314.00 , $182.12 ,Both
86336,INHIBIN A,86336,, $47.00 , $27.26 ,Both
J0716,"INJ CENTRUROIDES IMMUNE F(AB)2, UP TO 120 MILLIGRAMS",J0716,," $6,985.06 "," $4,051.33 ",Both
J0834636,INJ COSYNTROPIN (CORTROSYN) 0.25 MG FAC,J0834,, $152.73 , $88.58 ,Both
J0881636,"INJ DARBEPOETIN ALFA 1 MCG (NON-ESRD), F",J0881,, $9.37 , $5.43 ,Both
J0882636,"INJ DARBEPOETIN ALFA 1 MCG ESRD DIAL,FAC",J0882,, $9.37 , $5.43 ,Both
J1162636,"INJ DIGOXIN IMMUNE FAB OVINE PER VIAL, F",J1162,," $5,694.74 "," $3,302.95 ",Both
J0885636,"INJ EPOETIN ALFA (NON-ESRD) 1000 UNIT, F",J0885,, $38.30 , $22.21 ,Both
J3471636,"INJ HYLRNDSE OVINE PF 1USP UNT(TO 999),F",J3471,, $0.62 , $0.36 ,Both
J3472636,"INJ HYLRNDSE OVINE PF PER 1000USP UNT, F",J3472,, $533.08 , $309.19 ,Both
J1566636,"INJ IG IV LYOPHILIZED POWDER 500 MG, FAC",J1566,, $134.64 , $78.09 ,Both
J9264636,"INJ PACLITAXEL PROTEINBND PARTCLES 1MG,F",J9264,, $20.73 , $12.02 ,Both
J2850636,"INJ SECRETIN SYNTHETIC HUMAN 1 MCG, FAC",J2850,, $47.02 , $27.27 ,Both
J2805250,"INJ SINCALIDE (KINEVAC) 5 MICROGRAMS,FAC",J2805,, $119.55 , $69.34 ,Both
J9019,"INJ, ASPARAGINASE (ERWINAZE), 1,000 IU",J9019,, $577.62 , $335.02 ,Both
J0485,"INJ, BELATACEPT, 1 MG",J0485,, $5.42 , $3.14 ,Both
Q5101,"INJ, FIGRASTIM (G-CSF) BIOSIMILAR, (ZARXIO), 1 MCG",Q5101,, $1.31 , $0.76 ,Both
J7178,"INJ, HUMAN FIBRINOGEN CONCENTRATE, 1 MG",J7178,, $1.85 , $1.07 ,Both
J1741,"INJ, IBUPROFEN, 100 MG",J1741,, $3.11 , $1.80 ,Both
J1744,"INJ, ICATIBANT, 1 MG",J1744,, $532.48 , $308.84 ,Both
Q5104,"INJ, INFLIXIMAB-ABDA, BIOSIMILAR,(RENFLEXIS), 10MG",Q5104,, $107.96 , $62.62 ,Both
Q5103,"INJ, INFLIXIMAB-DYYB, BIOSIMILAR (INFLECTRA), 10MG",Q5103,, $114.50 , $66.41 ,Both
J2212,"INJ, METHYLNALTREXONE, 0. 1 MG",J2212,, $1.49 , $0.86 ,Both
J0890,"INJ, PEGINESATIDE, 0.1 MG (ESRD ON DIALYSIS)",J0890,, $15.49 , $8.98 ,Both
J2785636,"INJ,REGADENOSON,.01MG",J2785,, $87.04 , $50.48 ,Both
J1756636,"INJECT IRON SUCROSE PER 1MG (VENOFER),F",J1756,, $0.69 , $0.40 ,Both
L8605,"INJECTABLE BULKING AGENT, DEXTRANOMER/HYALURONIC ACID COPOLYMER IMPLANT, ANAL CANAL, 1 ML",L8605,," $1,081.00 ", $626.98 ,Both
J0133250,"INJECTION ACYCLOVIR 5 MG, FAC",J0133,, $0.16 , $0.09 ,Both
J0278636,"INJECTION AMIKACIN SULFATE PER 100 MG, F",J0278,, $3.51 , $2.04 ,Both
J0282250,INJECTION AMIODARONE HYDROCHLORIDE 30MG,J0282,, $9.95 , $5.77 ,Both
J9025636,"INJECTION AZACITIDINE 1 MG, FAC",J9025,, $4.46 , $2.59 ,Both
J1265250,"INJECTION DOPAMINE HCL PER 40 MG, FAC",J1265,, $1.29 , $0.75 ,Both
J1430636,"INJECTION ETHANOLAMINE OLEATE 100 MG,FAC",J1430,, $612.62 , $355.32 ,Both
J1640636,"INJECTION HEMIN 1 MG, FAC",J1640,, $32.35 , $18.76 ,Both
J1945636,"INJECTION LEPIRUDIN 50 MG, FAC",J1945,, $771.31 , $447.36 ,Both
J2325636,"INJECTION NESIRITIDE 0.1 MG, FAC",J2325,, $101.12 , $58.65 ,Both
C9113636,"INJECTION PANTOPRAZOLE SODIUM 40MG VIAL, FAC FEE",C9113,, $24.00 , $13.92 ,Both
J2503636,"INJECTION PEGAPTANIB SODIUM 0.3 MG, FAC",J2503,," $1,061.91 ", $615.91 ,Both
96372510,INJECTION SUBQ/IM,96372,, $103.00 , $59.74 ,Both
J3355636,"INJECTION UROFOLLITROPIN 75 IU, FAC",J3355,, $179.35 , $104.02 ,Both
J0456250,"INJECTION, AZITHROMYCIN, 500MG,  FAC FEE",J0456,, $8.88 , $5.15 ,Both
J0713250,"INJECTION, CEFTAZIDIME PER 500MG, FAC FEE",J0713,, $3.60 , $2.09 ,Both
J1324636,"INJECTION, ENFUVIRTIDE, 1 MG",J1324,, $0.95 , $0.55 ,Both
J1740636,"INJECTION, IBANDRONATE SODIUM, 1 MG",J1740,, $251.92 , $146.11 ,Both
J1562636,"INJECTION, IMMUNE GLOBULIN, SUBCUTANEOUS, 100 MG",J1562,, $17.20 , $9.98 ,Both
PC105266,"INJECTOR, TULIP, 17G X 9CM, GEMS (DSLINJ1709-10",,, $71.50 , $41.47 ,Both
58346,INSERT HEYMAN CAPSULES CLINICAL BRACHYTHERAPY,58346,," $1,859.00 "," $1,078.22 ",Both
32550450,INSERT INDWELL TUNNELED PLEURAL CATH W/CUFF ED FAC,32550,," $5,301.00 "," $3,074.58 ",Both
51701450,"INSERT NON-INDWELLING BLADDER CATH, ER FEE",51701,, $186.00 , $107.88 ,Both
51702450,"INSERT TEMP INDWELLING BLADDER CATH, ER FEE",51702,, $186.00 , $107.88 ,Both
36558450,"INSERT TUNNEL CNTRL VENOUS CATH, W/O PORT 5YRS+",36558,," $4,724.00 "," $2,739.92 ",Both
57155,INSERT UTERINE TANDEMS &/OR VAG OVOIDS CL,57155,," $1,500.00 ", $870.00 ,Both
36569450,"INSERT, PERIPH VEN CATH, W/O SP PORT/PUMP, >5 YRS ED",36569,," $2,781.00 "," $1,612.98 ",Both
M010668634,"INSERTER TIP, BEARING, F/ PERSONA PARTIAL KNEE (42529900301)",,, $191.50 , $111.07 ,Both
PC107112,"INSERTS, AIM, F/AB COCHLEAR SYS, STER (CI-6120)",L9900,, $500.00 , $290.00 ,Both
88367,"INSITU HYBRIDIZATION, AUTO",88367,, $324.00 , $187.92 ,Both
88367,"INSITU HYBRIDIZATION, AUTO",88367,TC, $230.00 , $133.40 ,Both
88368,"INSITU HYBRIDIZATION, MANUAL",88368,, $377.00 , $218.66 ,Both
88368,"INSITU HYBRIDIZATION, MANUAL",88368,TC, $262.00 , $151.96 ,Both
57156,INSJ VAGINAL RADIATION DEVICE,57156,, $849.00 , $492.42 ,Both
M010741903,"INSTRUMENT, OSTEOTOM, 3 IN, FLAT,F/AEQ FLEX RIVIVE(ARS743202)",C1776,, $859.25 , $498.37 ,Both
PC107010,"INSTRUMENT, OSTEOTOM, 5 IN, FLAT,F/AEQ FLEX RIVIVE(ARS743203)",A4649,, $859.25 , $498.37 ,Both
83525,INSULIN,83525,, $34.00 , $19.72 ,Both
J1817250,"INSULIN ADMIN-DME PER 50 UNITS, FAC",J1817,, $10.65 , $6.18 ,Both
86337,INSULIN ANTIBODIES,86337,, $64.00 , $37.12 ,Both
80432,INSULIN INDUCED C-PEPTIDE SUPRESSION PAL,80432,, $496.00 , $287.68 ,Both
J1815250,"INSULIN INJ, PER 5 UNITS, FAC FEE",J1815,, $1.07 , $0.62 ,Both
80434,INSULIN TOLERANCE PANEL,80434,, $854.00 , $495.32 ,Both
80435,INSULIN TOLERANCE PANEL FOR G HORMONE DE,80435,, $309.00 , $179.22 ,Both
83527,"INSULIN, FREE",83527,, $39.00 , $22.62 ,Both
77301,INTENSITY MODULATD RADIOTX W/DOSE-VOL HI,77301,TC," $6,002.00 "," $3,481.16 ",Both
77385,"INTENSITY MODULATED RADIATION TREATMENT DELIVERY (IMRT),  SIMPLE",77385,," $1,461.00 ", $847.38 ,Both
I77385,"INTENSITY MODULATED RADIATION TREATMENT DELIVERY (IMRT),  SIMPLE",77385,," $1,461.00 ", $847.38 ,Both
I77386,INTENSITY MODULATED RADIATION TREATMENT DELIVERY (IMRT); COMPLEX,77386,," $1,465.00 ", $849.70 ,Both
G6015,"INTENSITY MODULATED TREAT DEL, SINGLE OR MULTIPLE FIELDS/TREAT SESSION",G6015,," $1,465.00 ", $849.70 ,Both
69714761,"INTERGRATED IMPLANT,TEMPLE BONE",69714,," $20,287.00 "," $11,766.46 ",Both
12031450,INTERMED LAC OF BODY/SCALP <2.5CM,12031,, $545.00 , $316.10 ,Both
12032450,"INTERMEDIATE WOUND(S) 2.6, ER FEE",12032,, $545.00 , $316.10 ,Both
93261,INTERROGATION DEVICE EVAL IMPLANTABLE SUBCUTANEOUS LEAD DEFIBR SYSTEM,93261,TC, $119.00 , $69.02 ,Both
79300,INTERSTITIAL NUCLEAR THERAPY,79300,TC, $178.00 , $103.24 ,Both
77778,INTERSTITIAL RADIOELEMTN APPL: COMPLEX,77778,TC," $1,628.00 ", $944.24 ,Both
79440,INTRA-ARTICULAR RADIONUCLIDE THERAPY,79440,TC, $159.00 , $92.22 ,Both
79200,INTRACAVITARY RADIOACTIVE COLLOID THERP,79200,TC, $214.00 , $124.12 ,Both
G6017,INTRAFRACTION LOCAL&TRACKING OF TARGET OR PT MOTION ON DEL OF RAD TX.,G6017,, $353.00 , $204.74 ,Both
74360,INTRALUMINAL DILATION OF STRICTURES,74360,TC, $357.00 , $207.06 ,Both
83528,INTRINSIC FACTOR,83528,, $59.00 , $34.22 ,Both
86340,INTRINSIC FACTOR ANTIBODIES,86340,, $45.00 , $26.10 ,Both
M0043792,INTRODUCER 5.0 FR 10 CM SET,C1892,, $146.00 , $84.68 ,Both
M010656985,"INTRODUCER,  6FR X 13CM, SAFESHEATH II, W/SIDE PORT (SS6)",C1892,, $162.50 , $94.25 ,Both
PC104533,"INTRODUCER,  7FR, CLASSIC SHEATH, STD (CLS-1007)",C1892,, $162.50 , $94.25 ,Both
M010138355,"INTRODUCER, 7FR,  7CM, MICRO SHEATH SET, ENDOVENOUS(MIS-7F07)",C1892,, $83.88 , $48.65 ,Both
74340,INTRODUCTION OF LONG GASTROINTESTINAL TB,74340,TC, $326.00 , $189.08 ,Both
A9582343,"IODINE I-123 IOBENGUANE, DIAGNOSTIC, PER STUDY DOSE",A9582,," $4,700.26 "," $2,726.15 ",Both
A9590343,"IODINE I-131, IOBENGUANE, 1 MCI",A9590,, $432.77 , $251.01 ,Both
95940,IONM 1 ON 1 IN OR W/ATTENDANCE EACH 15 MINUTES,95940,, $110.00 , $63.80 ,Both
95941,IONM REMOTE/NEARBY/>1 PATIENT IN OR PER HOUR,95941,, $617.00 , $357.86 ,Both
J7645250,"IPRATROPIUM BROMIDE, INHAL COMPND UNIT DOS PER 1MG",J7645,, $0.53 , $0.31 ,Both
J7644250,"IPRATROPIUM BROMIDE,INHAL SOL,PER MG, FAC FEE",J7644,, $0.53 , $0.31 ,Both
83540,IRON,83540,, $19.00 , $11.02 ,Both
85536,"IRON STAIN,PERIPHERAL BLOOD",85536,, $21.00 , $12.18 ,Both
86945,IRRADIATION BLOOD PRODUCT EA UNIT,86945,, $106.00 , $61.48 ,Both
51700450,"IRRIGATE BLADDER SMPLE LAVAGE/INSTILL, ER FEE",51700,, $400.00 , $232.00 ,Both
95875,ISCHEMIC LIMB EXERCISE W/ SERIAL SPECIMEN ACQUISIT,95875,TC, $271.00 , $157.18 ,Both
86341,ISLET CELL ANTIBODY,86341,, $71.00 , $41.18 ,Both
83570,ISOCITRIC DEHYDROGENASE (IDH),83570,, $27.00 , $15.66 ,Both
96361761,IV INF HYDRATION EA ADL HR,96361,, $65.00 , $37.70 ,Both
96360761,IV INF HYDRATION INITIAL 31 MIN-1 HR,96360,, $313.00 , $181.54 ,Both
96360510,IV INF HYDRATION INTIAL 30,96360,, $313.00 , $181.54 ,Both
96367761,IV INF THER PROPH/DX ADDL SEQL NFS,96367,, $103.00 , $59.74 ,Both
96366761,IV INF THERAPY PROPHYLAXIS/DX EA HR,96366,, $65.00 , $37.70 ,Both
96365761,IV INF THERAPY/PROPHYLAXIS/DX INTL HR,96365,, $313.00 , $181.54 ,Both
96361260,IV INFUS HYDRATION,96361,, $65.00 , $37.70 ,Both
96367260,IV INFUS TX/PRX/DX,96367,, $103.00 , $59.74 ,Both
96366260,IV INFUS TX/PRX/DX E,96366,, $65.00 , $37.70 ,Both
96360260,IV INFUSION HYDRATIO,96360,, $313.00 , $181.54 ,Both
96365260,IV INFUSION THERAPEUTIC,96365,, $313.00 , $181.54 ,Both
96375260,IV PUSH EA ADDL SEQ,96375,, $65.00 , $37.70 ,Both
96374260,IV PUSH/SINGLE/INIT,96374,, $313.00 , $181.54 ,Both
0441T320,"IVR  ABLAT, PERC,CRYOBLATION,INCL IMAG GUID,LWR EXT DIST/PERIPH NERVE",0441T,," $2,931.00 "," $1,699.98 ",Both
10007320,"IVR  FINE NEEDLE ASP BX, INCL FLUOROSCOPIC GUIDANCE; FIRST LESION",10007,," $1,040.00 ", $603.20 ,Both
10005320,"IVR  FINE NEEDLE ASP BX, INCL ULTRASOUND GUIDANCE; FIRST LESION",10005,," $1,040.00 ", $603.20 ,Both
36572320,IVR  PICC W/O SUBQ PORT OR PUMP INCL IMAG GUID & DOC; < 5 YEARS OF AGE,36572,," $1,075.00 ", $623.50 ,Both
50693320,IVR  PLACEMENT URETERAL STENT,50693,," $5,146.00 "," $2,984.68 ",Both
49422320,IVR  REMOVAL OF TUNNELED INTRAPERITONEAL CATHETER,49422,," $4,724.00 "," $2,739.92 ",Both
36254320,IVR  SUPSLCTV CATH 2ND+ORD RENL&ACCES ARTER/S&I BILAT,36254,," $4,724.00 "," $2,739.92 ",Both
49083320,IVR ABDOM PARACENTESIS DX/THER W IMAGING GUIDANCE,49083,," $1,340.00 ", $777.20 ,Both
49082320,IVR ABDOM PARACENTESIS DX/THER W/O IMAGING GUIDANCE,49082,," $1,340.00 ", $777.20 ,Both
32994320,"IVR ABL THER REDUC/ERADICAT 1 OR MORE PULM TUMORS, UNI; CRYOBLATION",32994,," $8,240.00 "," $4,779.20 ",Both
50593320,IVR ABLATION RENAL TUMOR,50593,," $14,342.00 "," $8,318.36 ",Both
20983320,IVR ABLATION THERAPY,20983,," $10,198.00 "," $5,914.84 ",Both
47383320,"IVR ABLATION, 1 OR MORE LIVER TUMOR(S)",47383,," $8,240.00 "," $4,779.20 ",Both
50592320,IVR ABLTJ 1+ RNL TUM PRQ UNI RF,50592,," $8,240.00 "," $4,779.20 ",Both
20604320,IVR ARTHROCENTESIS,20604,, $446.00 , $258.68 ,Both
20610320,IVR ARTHROCENTESIS ASP/INJ MJR,20610,, $446.00 , $258.68 ,Both
20600320,IVR ARTHROCENTESIS ASP/INJ SM,20600,, $446.00 , $258.68 ,Both
20611320,"IVR ARTHROCENTESIS, MAJOR JOINT OR BURSA",20611,, $446.00 , $258.68 ,Both
20606320,"IVR ARTHROCENTESIS, SMALL JOINT OR BURSA",20606,," $1,066.00 ", $618.28 ,Both
20605320,IVR ASP/INJ CYST MED JT.,20605,, $446.00 , $258.68 ,Both
50390320,IVR ASP/INJ RENAL CYST/PELVIS,50390,," $1,040.00 ", $603.20 ,Both
20612320,IVR ASPIR &/OR INJECTION,20612,, $446.00 , $258.68 ,Both
51102320,IVR ASPIRATION OF BLADDER W/INSERT,51102,," $3,020.00 "," $1,751.60 ",Both
60300320,IVR ASPIRATION/INJ THYROID CYST,60300,," $1,040.00 ", $603.20 ,Both
38220320,IVR BONE MARROW ASP,38220,," $2,340.00 "," $1,357.20 ",Both
38221320,IVR BONE MARROW BX,38221,," $2,340.00 "," $1,357.20 ",Both
49180320,IVR BX ABD/RETROPERITONL MASS,49180,," $2,340.00 "," $1,357.20 ",Both
20220320,IVR BX BONE TROCAR/NEEDLE,20220,," $2,340.00 "," $1,357.20 ",Both
20225320,IVR BX BONE TROCAR/NEEDLE,20225,," $2,340.00 "," $1,357.20 ",Both
19100320,IVR BX BREAST PERCUT WO GUIDE,19100,," $2,340.00 "," $1,357.20 ",Both
19085320,"IVR BX BREAST W/ DEVICE IMAGING PERC; FIRST LESION, W/ MRI GUIDE",19085,," $2,340.00 "," $1,357.20 ",Both
19081320,"IVR BX BREAST W/ DEVICE IMAGING PERC; FIRST LESION, W/ STEREO GUIDE",19081,," $2,340.00 "," $1,357.20 ",Both
19083320,"IVR BX BREAST W/ DEVICE IMAGING PERC; FIRST LESION, W/ US GUIDE",19083,," $2,340.00 "," $1,357.20 ",Both
47000320,IVR BX LIVER NEEDLE PERCUT,47000,," $2,340.00 "," $1,357.20 ",Both
20206320,IVR BX MUSC PERCUT NEEDLE,20206,," $2,340.00 "," $1,357.20 ",Both
48102320,IVR BX PANCREAS PERCUT,48102,," $2,340.00 "," $1,357.20 ",Both
32400320,IVR BX PLEURA PERCUT NEEDLE,32400,," $2,340.00 "," $1,357.20 ",Both
55700320,IVR BX PROSTATE NEEDLE/PUNCH SINGLE/MULT ANY APP,55700,," $3,020.00 "," $1,751.60 ",Both
42400320,IVR BX SALIVARY GLAND,42400,," $1,040.00 ", $603.20 ,Both
21920320,IVR BX SOFT TISSUE BACK /FLANK,21920,," $2,340.00 "," $1,357.20 ",Both
21550320,IVR BX SOFT TISSUE NECK/THORAX,21550,," $2,340.00 "," $1,357.20 ",Both
60100320,IVR BX THYROID PERCUT,60100,," $1,040.00 ", $603.20 ,Both
38505320,IVR BX/EXC LYMPH NODE(S),38505,," $2,340.00 "," $1,357.20 ",Both
C1725622,IVR CATH ANGIOPLASTY NON LASER,C1725,, $881.00 , $510.98 ,Both
C1726622,IVR CATH BLN DIALATION NON-VAS,C1726,, $817.00 , $473.86 ,Both
C1750622,IVR CATH HEMO/PERI LONG-TERM,C1750,," $1,094.00 ", $634.52 ,Both
C1752622,IVR CATH HEMODIALYSIS SHRT-TRM,C1752,, $605.00 , $350.90 ,Both
C1757622,IVR CATH THROMBCTMY/EMBOLCTMY,C1757,, $721.00 , $418.18 ,Both
C1729622,IVR CATHETER DRAIN MALECOT,C1729,, $275.00 , $159.50 ,Both
C1887622,IVR CATHETER GUIDING,C1887,, $263.00 , $152.54 ,Both
C1751622,IVR CATHETER INFUSION INSERTED,C1751,, $551.00 , $319.58 ,Both
37214320,IVR CESSATION THROMBOLYTIC THRPY W/CATHETER REMOVAL,37214,," $2,781.00 "," $1,612.98 ",Both
51705320,IVR CHANGE CYSTOSTOMY TUBE,51705,, $400.00 , $232.00 ,Both
50688320,IVR CHANGE URETEROSTOMY TUBE,50688,," $3,020.00 "," $1,751.60 ",Both
64646320,IVR CHEMODENERVATION OF TRUNK MUSCLE(S); 1-5 MUSCLE(S),64646,," $1,066.00 ", $618.28 ,Both
64647320,IVR CHEMODENERVATION OF TRUNK MUSCLE(S); 6 OR MORE MUSCLE(S),64647,," $1,066.00 ", $618.28 ,Both
61055320,IVR CISTERNAL/LAT CERV PUNCTURE,61055,, $446.00 , $258.68 ,Both
36598320,IVR CNTRST NJX RAD EVAL,36598,, $313.00 , $181.54 ,Both
49465320,IVR CONTRAST INJECTION PERQ RADIOLOGIC EVAL,49465,, $397.00 , $230.26 ,Both
49446320,IVR CONVERT GASTRO TUBE > JEJUNOSTOMY,49446,," $2,655.00 "," $1,539.90 ",Both
50434320,IVR CONVERT NEPHROSTOMY CATHETER,50434,," $3,020.00 "," $1,751.60 ",Both
52341320,IVR CYSTOURETHROSCOPY,52341,," $5,146.00 "," $2,984.68 ",Both
38222320,IVR DIAGNOSTIC BONE MARROW; BIOPSY(IES) AND ASPIRATION(S),38222,," $3,953.00 "," $2,292.74 ",Both
50436320,"IVR DILATION EXISTING TRACT, PERCUT ENDOUROLOGIC PROC, INCL IMAG GUID",50436,," $3,020.00 "," $1,751.60 ",Both
50437320,"IVR DILATION OF EXIST TRACT, PERCUT ENDOUROLOGIC PROC; INCL NEW ACCESS",50437,," $5,146.00 "," $2,984.68 ",Both
64633320,IVR DSTR NROLYTC AGNT PARVERTEB FCT SNGL CRVCL/THORA,64633,," $2,931.00 "," $1,699.98 ",Both
64635320,IVR DSTR NROLYTC AGNT PARVERTEB FCT SNGL LMBR/SACRAL,64635,," $2,931.00 "," $1,699.98 ",Both
49441320,IVR DUODEN/JEJUNOSTOMY TUBE,49441,," $2,655.00 "," $1,539.90 ",Both
49423320,IVR EXCHANGE CYST DRAIN,49423,," $2,655.00 "," $1,539.90 ",Both
50435320,IVR EXCHANGE NEPHROSTOMY CATHETER,50435,," $3,020.00 "," $1,751.60 ",Both
47536320,IVR EXCHANGE OF BILIARY DRAINAGE CATHETER,47536,," $5,301.00 "," $3,074.58 ",Both
36861320,IVR EXT CANNULA DECLOTTING,36861,," $7,835.00 "," $4,544.30 ",Both
10009320,"IVR FINE NEEDLE ASP BX, INCL CT GUIDANCE; FIRST LESION",10009,," $1,040.00 ", $603.20 ,Both
10011320,"IVR FINE NEEDLE ASP BX, INCL MR GUIDANCE; FIRST LESION",10011,," $1,040.00 ", $603.20 ,Both
49440320,IVR GASTROSTOMY TUBE,49440,," $2,655.00 "," $1,539.90 ",Both
38792320,IVR IDENTIFY SENTINEL NODE,38792,, $628.00 , $364.24 ,Both
49406320,IVR IMAGE GUIDE COLL DRAINAGE BY CATH; PERITONEAL/RETROPERITONEAL/PERC,49406,," $2,340.00 "," $1,357.20 ",Both
49405320,"IVR IMAGE GUIDE COLL DRAINAGE BY CATH; VISCERAL, PERC",49405,," $2,340.00 "," $1,357.20 ",Both
49407320,"IVR IMAGE GUIDE COLLECTION DRAINAGE BY CATH; PERITONEAL/RETROPER, TRANSVAG/TRANSREC",49407,," $2,340.00 "," $1,357.20 ",Both
10030320,IVR IMAGE GUIDED COLLECTION DRAINAGE BY CATH; PERC,10030,," $1,040.00 ", $603.20 ,Both
36002320,IVR INJ (THROMBIN) PERCUT TX,36002,," $1,075.00 ", $623.50 ,Both
64520320,IVR INJ ANESETIC AGENT LUMB/THORACIC (PARA),64520,," $1,384.00 ", $802.72 ,Both
64450320,IVR INJ ANESETIC OTHER NERVE,64450,," $1,066.00 ", $618.28 ,Both
64445320,IVR INJ ANESETIC SCIATIC NERVE,64445,," $1,066.00 ", $618.28 ,Both
64479320,IVR INJ ANESETIC/STER CERV/THOR,64479,," $1,384.00 ", $802.72 ,Both
64483320,IVR INJ ANESETIC/STER LUMB/SAC,64483,," $1,384.00 ", $802.72 ,Both
64490320,IVR INJ CERV/THOR SINGLE LEVEL,64490,," $1,384.00 ", $802.72 ,Both
62323320,"IVR INJ DIAG/THERAP SUBS, INCL NEEDLE/CATH PLCMT,LUMBAR OR SACRAL W/IMAG GUID",62323,," $1,066.00 ", $618.28 ,Both
64493320,IVR INJ LUMB/SACRL SINGLE LEVEL,64493,," $1,384.00 ", $802.72 ,Both
36465320,IVR INJ NON-CMP FOAM SCLEROSANT W/US COMPRESS; SINGLE EXT TRUNCAL VEIN,36465,," $2,766.00 "," $1,604.28 ",Both
36466320,IVR INJ NON-CMP FOAM SCLEROSANT W/US COMPRESS; TRUNCAL VEIN; MULTIPLE,36466,," $2,766.00 "," $1,604.28 ",Both
