 PROCEDURE DESCRIPTION , PRICE , REVENUE CODE , CPT CODE , ALTERNATE CPT HCPC , CPT HCPC MODIFIER 
RAD RESECT TUMOR SOFT TISSUE THIGH/KNEE <5CM," $4,586 ", 361 ,27329,  ,  
RAD RESECTION TUMOR PROX/MIDDLE PHALANX FINGER," $5,003 ", 361 ,26260,  ,  
RAD RESECTION TUMOR SOFT TISS FACE/SCALP < 2CM," $4,586 ", 361 ,21015,  ,  
RAD RESECTION TUMOR SOFT TISS FACE/SCALP 2+CM," $6,947 ", 361 ,21016,  ,  
RAD RESECTION TUMOR SOFT TISS PELVIS&HIP 5+CM," $6,947 ", 361 ,27059,  ,  
RAD RESECTION TUMOR SOFT TISSUE ABDL WALL <5CM," $4,586 ", 361 ,22904,  ,  
RAD RESECTION TUMOR SOFT TISSUE ABDL WALL 5+CM," $6,947 ", 361 ,22905,  ,  
RAD RESECTION TUMOR SOFT TISSUE BACK/FLANK <5CM," $4,586 ", 361 ,21935,  ,  
RAD RESECTION TUMOR SOFT TISSUE BACK/FLANK 5+CM," $6,947 ", 361 ,21936,  ,  
RAD RESECTION TUMOR SOFT TISSUE FOOT/TOE <3CM," $4,586 ", 361 ,28046,  ,  
RAD RESECTION TUMOR SOFT TISSUE FOOT/TOE 3+CM," $6,947 ", 361 ,28047,  ,  
RAD RESECTION TUMOR SOFT TISSUE LEG/ANKLE <5CM," $4,586 ", 361 ,27615,  ,  
RAD RESECTION TUMOR SOFT TISSUE SHOULDER <5CM," $4,726 ", 361 ,23077,  ,  
RAD RESECTION TUMOR SOFT TISSUE SHOULDER 5+CM," $6,947 ", 361 ,23078,  ,  
RAD RESECTION TUMOR SOFT TISSUE THIGH/KNEE 5+CM," $6,947 ", 361 ,27364,  ,  
RAD S&I PERQ VERTEBROP W/FLURO," $1,000 ", 320 ,72291,  ,  
RAD S&I PERQ VERTEBRP W/CT GUI," $1,000 ", 350 ,72292,  ,  
RAD TRACHLEC W/BIL PLV LYMPHCT," $6,069 ", 360 ,57531,  ,  
RAD TX MGMT X5 CONFORMAL, $602 , 333 ,77427,  ,  
RADAPHRM TX 90-Y IBRIT TIUXETA," $172,822 ", 636 ,A9543,  ,  
RADATION TX DELIVERY 3/> AREAS CUSTOM BLKING <5MEV, $770 , 333 ,77412,  ,  
RADEX SPINE CERVICAL 3 VIEWS OR LESS, $250 , 320 ,72040,  ,  
RADEX SPINE CERVICAL 3 VIEWS OR LESS RO, $250 , 320 ,72040,  ,  
RADEX SPINE CERVICAL 4 OR 5 VIEWS, $364 , 320 ,72050,  ,  
RADEX SPINE CERVICAL 4 OR 5 VIEWS RO, $364 , 320 ,72050,  ,  
RADEX SPINE CERVICAL 6 OR MORE VIEWS, $411 , 320 ,72052,  ,  
RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6 VIEWS, $364 , 320 ,72114,  ,  
RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6 VIEWS RO, $364 , 320 ,72114,  ,  
RADEX TOE MINIMUM 2 VIEWS, $320 , 320 ,73660,  ,  
RADIAL KERATOTOMY," $18,500 ", 360 ,65771,  ,  
RADIAL STYLOIDECTOMY," $10,304 ", 361 ,25230,  ,  
RADIATION CARRIER," $1,819 ", 512 ,D5983,  ,  
RADIATION CONE LOCATOR," $1,819 ", 512 ,D5985,  ,  
RADIATION SHIELD," $1,819 ", 512 ,D5984,  ,  
RADICAL RES TONSIL; W/O CLOS," $14,259 ", 361 ,42842,  ,  
RADICAL RESCTION TUMOR INNOMINATE BONE TOTAL," $9,321 ", 361 ,27077,  ,  
RADICAL RESEC TUMR RADIUS/ULNA," $10,304 ", 361 ,25170,  ,  
RADICAL RESECT MAXILLA OR MANDIBLE, $200 , 512 ,D7490,  ,  
RADICAL RESECTION BONE TUMOR PROXIMAL HUMERUS," $6,425 ", 360 ,23220,  ,  
RADICAL RESECTION OF STERNUM;," $3,997 ", 361 ,21630,  ,  
RADICAL RESECTION OF TUMOR TALUS OR CALCANEUS," $10,304 ", 361 ,27647,  ,  
RADICAL RESECTION OF TUMOR TIBIA," $5,864 ", 361 ,27645,  ,  
RADICAL RESECTION TUMOR BONE FIBULA," $5,091 ", 361 ,27646,  ,  
RADICAL RESECTION TUMOR CLAVICLE," $4,995 ", 360 ,23200,  ,  
RADICAL RESECTION TUMOR DISTAL PHALANX FINGER," $5,003 ", 361 ,26262,  ,  
RADICAL RESECTION TUMOR FEMUR OR KNEE," $6,813 ", 361 ,27365,  ,  
RADICAL RESECTION TUMOR METACARPAL," $5,003 ", 361 ,26250,  ,  
RADICAL RESECTION TUMOR METATARSAL," $6,735 ", 361 ,28173,  ,  
RADICAL RESECTION TUMOR PHALANX OR TOE," $6,735 ", 361 ,28175,  ,  
RADICAL RESECTION TUMOR RADIAL HEAD/NECK," $15,127 ", 360 ,24152,  ,  
RADICAL RESECTION TUMOR SCAPULA," $5,864 ", 360 ,23210,  ,  
RADICAL RESECTION TUMOR SHAFT/DISTAL HUMERUS," $15,127 ", 360 ,24150,  ,  
RADIESSE INJECTION, $20 , 636 ,Q2026,  ,  
RADIOFREQ TRNSMTR W/IMPLT NEUR, $200 , 290 ,L8683,  ,  
RADIOGRAPHIC/SURG IMPLANT INDX RPT, $200 , 512 ,D6190,  ,  
RADIOLOG EXAM SPINE LUMBOSACRAL ONLY BENDING 2/3 VIEWS, $390 , 320 ,72120,  ,  
RADIOLOG EXAM SPINE LUMBOSACRAL ONLY BENDING 2/3 VIEWS RO, $390 , 320 ,72120,  ,  
RADIOLOGICAL GUIDANCE PRQ DRG W/PLMT CATH RS&I, $800 , 350 ,75989,  ,  
RADIONUC DACRYOCYSTOGRAM, $651 , 340 ,78660,  ,  
RADIOPHARM THERAPY IV ADMNISTRATION," $1,024 ", 342 ,79101,  ,  
RADIOPHARM THERAPY ORAL ADMIN," $1,024 ", 340 ,79005,  ,  
RADIOPHARM THERAPY UNLISTED PROC," $1,024 ", 342 ,79999,  ,  
RADIOPHARM TX INTERSTITIAL ADMIN," $1,039 ", 342 ,79300,  ,  
RADIOPHARM TX INTRA-ARTICULR ADMIN," $1,427 ", 340 ,79440,  ,  
RADIOPHARM TX INTRACAVITARY ADMIN," $1,427 ", 342 ,79200,  ,  
RADIOPHARMACEUTICAL DIAGNOSTIC NOC," $6,500 ", 636 ,A4641,  ,  
RADIOPHRM DX BETA-AMYLOID PET IMAG PER STDY DOSE, $500 , 636 ,A9599,  ,  
RADL EXC BURSA WRST TEND;EXTEN," $6,557 ", 361 ,25116,  ,  
RADL EXC BURSA WRST TEND;FLEXR," $6,557 ", 361 ,25115,  ,  
RADL RES SOFT TISS&BN ELB-SEP," $10,304 ", 360 ,24149,  ,  
RADL RES STERN; W/MEDIAS LYMPH," $5,623 ", 361 ,21632,  ,  
RADOPHARM TX MA IV INFUSION," $1,427 ", 340 ,79403,  ,  
RADOPHRM DX I-131 SERUM ALB 5, $455 , 636 ,A9524,  ,  
RADOPHRM DX TC-99M MAA-MCI, $69 , 636 ,A9540,  ,  
RADOPHRM DX TC-99M MEBROFENIN, $182 , 636 ,A9537,  ,  
RADOPHRM DX TC-99M PENTETA-MCI, $60 , 636 ,A9539,  ,  
RADOPHRM DX TC-99M PERTECHNET, $15 , 636 ,A9512,  ,  
RADOPHRM DX TC-99M PYROPHOSHAT, $80 , 636 ,A9538,  ,  
RADOPHRM TX INTRA-ART PARTICUL ADMN," $1,024 ", 342 ,79445,  ,  
RADPHRM DX IN-111 IBRIT TIUXET," $13,962 ", 636 ,A9542,  ,  
RADPHRM DX TC 99M MERTIATD MCI," $11,241 ", 290 ,E0786,  ,  
RADPHRM DX TC-99M EXETAZN-DOSE," $3,120 ", 636 ,A9521,  ,  
RADPHRM DX TC-99M SULF COLLOID, $360 , 636 ,A9541,  ,  
RADPHRM DX XENON XE 133 10 MCI, $666 , 290 ,E0785,  ,  
RADPHRM LOC TUMR/DSTRB AGT;WB 2/>DA," $4,630 ", 341 ,78804,  ,  
RADPHRM TXI-131 SOD IOD CAP-, $610 , 636 ,A9517,  ,  
RAISED TOILET SEAT, $461 , 290 ,E0244,  ,  
RANIBIZUMAB INJECTION," $4,644 ", 636 ,J2778,  ,  
RANITIDINE HYDROCHLORIDE INJ, $40 , 636 ,J2780,  ,  
RAPID DESENSITIZ EA HOUR, $600 , 510 ,95180,  ,  
RASBURICASE," $6,951 ", 636 ,J2783,  ,  
RATCHET ASSEMBLY, $200 , 270 ,K0050,  ,  
RATIONALE FOR LEVEL OF CARE DOCUMENTED, $25 , 999 ,6005F,  ,  
RBCS FRZN/DEGLY/WASH/LEUK RDUC IRR," $2,140 ", 390 ,P9057,  ,  
RBCS LEUKOCYTES RDUC CMV-NEG IRRADA," $1,162 ", 390 ,P9058,  ,  
RCMND FLLW-UP 2ND CLNSCPY 10/> YRS DOCD RPRT, $25 , 999 ,0528F,  ,  
RDUC CRANIOMEGA SKULL; W/PLSTY," $5,393 ", 360 ,62116,  ,  
RDUC CRANIOMEGAL SKULL; WO GFT," $4,254 ", 360 ,62115,  ,  
RDUC CRANIOMEGAL; W/CRANIOTOMY," $7,430 ", 360 ,62117,  ,  
RDUC FOREHEAD;CONTOUR/BONE GFT," $14,259 ", 361 ,21138,  ,  
RDUC FOREHEAD;SETBK SINUS WALL," $14,259 ", 361 ,21139,  ,  
RDUC PROCIDENTIA-SEP UND ANES," $1,892 ", 361 ,45900,  ,  
RDUC VOLVULUS BY LAPAROTOMY," $3,033 ", 360 ,44050,  ,  
RE TO CALL NON/LIT PAT AC/LTC TRANS ONLY, $71 , 920 ,X0406,  ,  
REACHING/GRABBING DEVICE ANY TYPE ANY LENGTH EA, $200 , 270 ,A9281,  ,  
READY GRADIENT GAUNTLET, $200 , 270 ,S8428,  ,  
READY GRADIENT GLOVE, $200 , 270 ,S8427,  ,  
READY GRADIENT SLEEV/GLOV, $200 , 270 ,S8421,  ,  
READY GRADIENT SLEEVE, $200 , 270 ,S8424,  ,  
REALIGN EXT TENDON HND EA TEND," $5,003 ", 361 ,26437,  ,  
REAR WHL COMPL PNEUM TIRE, $721 , 270 ,K0070,  ,  
REAR WHL COMPLETE SOLID TIRE, $393 , 270 ,K0069,  ,  
REAS NO ADHERE POS AIR PRES, $25 , 999 ,G8854,  ,  
REATTACHMENT TOOTH FRAGMENT INCISAL EDGE/CUSP, $200 , 512 ,D2921,  ,  
REBASE COMPLT MAXILLRY DENTURE, $344 , 512 ,D5710,  ,  
REBASE MANDIBULAR PART DENTURE, $344 , 512 ,D5721,  ,  
REBASE MAXILLARY PART DENTURE, $344 , 512 ,D5720,  ,  
REBONDING OR RECEMENTING OF FIXED RETAINER, $200 , 512 ,D8693,  ,  
REC COLLA LIG MCP JNT 1;W/GFT," $8,915 ", 361 ,26541,  ,  
REC FOREHD&/ORB RIM; W/AUTOGFT," $6,382 ", 360 ,21180,  ,  
REC FOREHD&/SUPRAORB RIM;W/GFT," $5,174 ", 360 ,21179,  ,  
REC LIG MCP JNT 1; W/LOC TISS," $5,003 ", 361 ,26542,  ,  
REC MAND RAMI&/BDY; W/INT FIX," $4,985 ", 360 ,21196,  ,  
REC MAND RAMI&/BDY; WO INT FIX," $14,259 ", 360 ,21195,  ,  
REC POST TIBL TEND W/EXC TARSL," $19,478 ", 361 ,28238,  ,  
REC REP PECTUS EXCAV/CARNA;OPN," $3,326 ", 361 ,21740,  ,  
RECEIVER MON; EXT INTERSTITIAL CONT GLU MON SYS, $200 , 270 ,A9278,  ,  
RECEMENT CAST/PREFAB POST & CORE, $200 , 512 ,D2915,  ,  
RECEMENT FIXED PARTIAL DENTURE, $200 , 512 ,D6930,  ,  
RECEMENT IMPL/ABUT FIX PART DENTURE, $200 , 512 ,D6093,  ,  
RECEMENT IMPL/ABUT SUPPORTED CROWN, $200 , 512 ,D6092,  ,  
RECEMENT INLAY ONLAY/PART COV REST, $200 , 512 ,D2910,  ,  
RECEMENT SPACE MAINTAINER," $1,819 ", 512 ,D1550,  ,  
RECEPTOR ASSAY ENDOCRINE, $286 , 300 ,84235,  ,  
RECEPTOR ASSAY ENDOCRINE - SO, $286 , 300 ,84235,  ,  
RECEPTOR ASSAY N/ENDOCRINE, $200 , 300 ,84238,  ,  
RECIPIENT NEPHRECTOMY-SEP PROC," $3,756 ", 367 ,50340,  ,  
RECIPROC PERITONL DIALYSIS SYS, $200 , 290 ,E1630,  ,  
RECIPROCATING GAIT COMP MTLHIP," $6,664 ", 274 ,L2628,  ,  
RECIPROCATING GAIT COMP PLSHIP," $8,748 ", 274 ,L2627,  ,  
RECLIN BACK ADD PED SIZE WHLCHAIR," $3,652 ", 290 ,E1014,  ,  
RECN CD/LD INTST ALOGFT;ART ANAS EA," $1,252 ", 360 ,44721,  ,  
RECN CD/LD INTST ALOGFT;VN ANAST EA, $836 , 360 ,44720,  ,  
RECN CD/LD REN ALLOGFT;ART ANAST EA, $609 , 360 ,50328,  ,  
RECN CD/LD REN ALOGFT;URET ANAST EA, $567 , 360 ,50329,  ,  
RECN CD/LD RENL ALLOGFT;VN ANAST EA, $694 , 360 ,50327,  ,  
RECN CONTOUR BEN TUMR CRAN BON," $14,259 ", 360 ,21181,  ,  
RECN MIDFC LEFORT I;3/>RQR GFT," $5,634 ", 360 ,21147,  ,  
RECO MIDFC LEFOR II;ANT INTRUS," $14,259 ", 360 ,21150,  ,  
RECO MIDFC LEFORT I;3/> WO GFT," $4,727 ", 360 ,21143,  ,  
RECO MIDFC RQR GFT;WO LEFORT I," $7,474 ", 360 ,21154,  ,  
RECO MIDFCE FORHD ADV;NO LEFOR," $8,268 ", 360 ,21159,  ,  
RECO MIDFCE FORHD ADV;W/LEFORT," $8,748 ", 360 ,21160,  ,  
RECO ORB RIM&LO FORHD W/WO GFT," $14,259 ", 360 ,21172,  ,  
RECO ORB;BNE GFT >40 BUT<80 SQ," $7,905 ", 360 ,21183,  ,  
RECON ANGULR DEFRM TOE SFT TIS," $6,735 ", 361 ,28313,  ,  
RECON BIFRONL ORB RIM W/WO GFT," $14,259 ", 360 ,21175,  ,  
RECON CD PANC ALLOGFT VEN ANAST EA, $756 , 360 ,48552,  ,  
RECON CMPL SHLDR CUFF AVULSIO," $15,127 ", 361 ,23420,  ,  
RECON DISLO PATELL; EXT REALGN," $15,127 ", 361 ,27422,  ,  
RECON DISLOC PAT; W/PATELLECTO," $15,127 ", 361 ,27424,  ,  
RECON DIST ULNA/RADIOULNAR 2ND," $15,127 ", 361 ,25337,  ,  
RECON DONR LIVER GFT;ART ANASTOM EA," $1,231 ", 360 ,47147,  ,  
RECON DONR LIVER GFT;VENUS ANAST EA," $1,056 ", 360 ,47146,  ,  
RECON EXT AUDITORY CANL; 1 STG," $14,259 ", 360 ,69320,  ,  
RECON EXT AUDITRY CANL SEP PRC," $14,259 ", 360 ,69310,  ,  
RECON LATCOLIG ELB W/TENDN GFT," $15,127 ", 361 ,24344,  ,  
RECON LID; TOT LID LOWER 1 STG," $7,948 ", 360 ,67973,  ,  
RECON LID; TOT LID UPPER 1 STG," $5,800 ", 360 ,67974,  ,  
RECON LID; UP TO 2/3 LID 1 STG," $5,800 ", 360 ,67971,  ,  
RECON LID-TRANSF FLAP; 2ND STG," $5,800 ", 360 ,67975,  ,  
RECON LIG IP JNT 1 INCL GFT EA," $8,915 ", 361 ,26545,  ,  
RECON MAND CONDYL W/BN AUTOGFT," $5,242 ", 360 ,21247,  ,  
RECON MAND EXTRAORAL W/BNE PLT," $14,259 ", 360 ,21244,  ,  
RECON MAND RAMI OSTEOT; W/GFT," $4,559 ", 360 ,21194,  ,  
RECON MAND RAMI OSTEOT; WO GFT," $14,259 ", 360 ,21193,  ,  
RECON MAND SUBPERIOS IMPL;CMPL," $14,259 ", 360 ,21246,  ,  
RECON MAND SUBPERIOS IMPL;PART," $14,259 ", 360 ,21245,  ,  
RECON MAND/MAX ENDOS IMPL;CMPL," $14,259 ", 360 ,21249,  ,  
RECON MAND/MAX ENDOS IMPL;PART," $14,259 ", 510 ,21248,  ,  
RECON MCL ELB W/TENDON GRAFT," $15,127 ", 361 ,24346,  ,  
RECON MIDFAC LEFORT I;1 WO GFT," $4,559 ", 360 ,21141,  ,  
RECON MIDFAC LEFORT I;2 WO GFT," $5,437 ", 360 ,21142,  ,  
RECON MIDFACE OSTEOT&BONE GFTS," $5,274 ", 360 ,21188,  ,  
RECON MIDFC LEFORT I;1 RQR GFT," $5,096 ", 360 ,21145,  ,  
RECON MIDFC LEFORT I;2 RQR GFT," $5,800 ", 360 ,21146,  ,  
RECON MIDFC LEFORT II; RQR GFT," $6,858 ", 360 ,21151,  ,  
RECON MIDFC RQR GFT;W/LEFORT I," $7,574 ", 360 ,21155,  ,  
RECON ORB; BONE GFT < 40 SQ CM," $7,445 ", 360 ,21182,  ,  
RECON ORB; BONE GFT > 80 SQ CM," $7,445 ", 360 ,21184,  ,  
RECON ORBIT W/OSTEOT&W/BN GFT," $14,259 ", 360 ,21256,  ,  
RECON PLASTIC EXTRAHEPATI BILI," $5,118 ", 360 ,47800,  ,  
RECON POLYDACT DIG SFT TISS&BN," $5,003 ", 361 ,26587,  ,  
RECON REP PECTUS; W/THORACSCPY," $15,127 ", 361 ,21743,  ,  
RECON REP PECTUS;WO THORACSCPY," $15,127 ", 361 ,21742,  ,  
RECON TEND PULLEY EA; GFT-SEP," $8,915 ", 361 ,26502,  ,  
RECON TEND PULLEY EA; LOC-SEP," $5,003 ", 361 ,26500,  ,  
RECON TOE MACRODACT;REQ BN RES," $6,735 ", 360 ,28341,  ,  
RECON TOE MACRODACTYL;TISS RES," $6,735 ", 360 ,28340,  ,  
RECON TOE SYNDACTYLY W/WO GFT," $6,735 ", 360 ,28345,  ,  
RECON ZYGOMATIC ARCH W/BN&CART," $5,634 ", 360 ,21255,  ,  
"RECON, CTA FOR SURG PLAN", $830 , 352 ,G0288,  ,  
RECONSTRU VENA CAVA ANY METHOD," $6,604 ", 360 ,34502,  ,  
RECONSTRUCTION CLEFT FOOT," $19,478 ", 360 ,28360,  ,  
RECONSTRUCTION COMPLEX CARDIAC ANOMALY," $11,800 ", 360 ,33622,  ,  
RECONSTRUCTION DISLOC PATELLA;," $15,127 ", 361 ,27420,  ,  
RECONSTRUCTION INTRANASAL," $14,259 ", 510 ,30620,  ,  
RECONSTRUCTION TOE;POLYDACTYLY," $6,735 ", 360 ,28344,  ,  
RECONSTRUCTN OF NAIL BED W/GFT," $5,485 ", 361 ,11762,  ,  
RECOVERY ROOM (CHARGE FOR THE ROOM), $500 , 710 ,W0002,  ,  
RECTAL SENSATN TONE&COMPLIANCE TST, $318 , 750 ,91120,  ,  
RECTAL THERMOMETER REUSBL TYP, $200 , 270 ,A4932,  ,  
RECTAL TUMOR EXCISION TRANSANAL ENDOSCOPIC," $10,006 ", 750 ,0184T,  ,  
RED BLD CELLS DEGLYCEROL EA," $2,520 ", 390 ,P9039,  ,  
RED BLD CELLS IRRADIAT EA UNIT," $1,000 ", 390 ,P9038,  ,  
RED BLD CELLS LYTES RED IRRADI," $1,114 ", 390 ,P9040,  ,  
RED CELL SEQ LABEL," $2,264 ", 341 ,78140,  ,  
RED CELL SURV/SEQS," $2,264 ", 341 ,78135,  ,  
RED CELL SURVIVAL," $2,264 ", 341 ,78130,  ,  
RED CELL VOL MX," $2,264 ", 341 ,78121,  ,  
RED CELL VOL SNGL," $2,264 ", 341 ,78120,  ,  
REDUCT FOREHEAD; CONTOUR ONLY," $7,438 ", 361 ,21137,  ,  
REDUCT MASSET MUSC&BN; INTRAOR," $7,438 ", 360 ,21296,  ,  
REDUCT MASSET MUSC&BN; XTRAORL," $2,181 ", 360 ,21295,  ,  
REDUCTION MAMMAPLASTY," $14,348 ", 360 ,19318,  ,  
REDUCTION OF OCULAR PROSTHESIS," $1,200 ", 278 ,V2626,  ,  
REDUCTION OVERCORRECTON PTOSIS," $5,800 ", 360 ,67909,  ,  
REDUCTION TORSION TESTIS-SURG," $6,942 ", 360 ,54600,  ,  
RE-EVAL LTD-PROB FOCUS EST PT, $200 , 512 ,D0170,  ,  
REF FOR OTO EVAL, $25 , 999 ,G8856,  ,  
"REFERRED FOR AN ARTERIOVENOUS (AV) FISTULA (ESRD, CKD)", $25 , 999 ,4051F,  ,  
REFIL&MNT IMPL PUMP/RESRVOR RX, $689 , 510 ,96522,  ,  
REFILL & MAINTENANCE PUMP DRUG DELVRY SPINAL/BRAIN, $689 , 940 ,95990,  ,  
REFILL KIT-IMPLNT INFUS PUMP, $200 , 270 ,A4220,  ,  
REFILLING&MAINT PORTABLE PUMP, $689 , 510 ,96521,  ,  
REGADENOSON INJECTION, $687 , 636 ,J2785,  ,  
REGIONAL BLOCK ANES, $200 , 512 ,D9211,  ,  
REGULATOR, $263 , 290 ,E1353,  ,  
REIMPL AN ANOMALOUS PULMON ART," $6,170 ", 360 ,33788,  ,  
REIMPL ART INFRARENL AORTC PROS EA, $488 , 360 ,35697,  ,  
REINFORCED SOLID STIRRUP, $840 , 274 ,L2260,  ,  
REINS OCULR IMPL; W/WO CONJUNC," $7,948 ", 360 ,65150,  ,  
REINS RUP BI/TRICEPS TEND DIST," $15,127 ", 361 ,24342,  ,  
REINSERT SPINAL FIXATION DEVIC," $4,253 ", 360 ,22849,  ,  
REINSRT OCULR IMPLT; W/REINFRC," $12,492 ", 360 ,65155,  ,  
RELEASE EXTEN SCAR TISS-SEP," $7,789 ", 360 ,67343,  ,  
RELEASE INTRIN MUSC HND EA MUS," $5,003 ", 361 ,26593,  ,  
RELEASE OF ENCIRCLING MATERIAL," $6,860 ", 360 ,67115,  ,  
RELEASE OF NASAL ADHESIONS," $1,045 ", 510 ,30560,  ,  
RELEASE OF THENAR MUSCLE," $5,003 ", 361 ,26508,  ,  
RELEASE TARSAL TUNNEL," $5,536 ", 361 ,28035,  ,  
RELEASE/RECESSN HAMSTRING PROX," $10,304 ", 361 ,27097,  ,  
"RELINE COMPLETE, LOWER", $204 , 512 ,D5730,  ,  
"RELINE COMPLETE, UPPER", $204 , 512 ,D5731,  ,  
"RELINE PARTIAL, LOWER", $200 , 512 ,D5740,  ,  
"RELINE PARTIAL, UPPER", $200 , 512 ,D5741,  ,  
RELOCATE SKIN POCKET CARDIOVERTER-DEFIBRILLATOR," $5,485 ", 481 ,33223,  ,  
RELOCATION OF SKIN POCKET FOR PACEMAKER," $5,485 ", 481 ,33222,  ,  
REM BEN NONODONTGN TUM-TO 1.25, $297 , 512 ,D7460,  ,  
REM BEN NONODONTOGN TUM >125CM, $407 , 512 ,D7461,  ,  
REM BEN ODONTOGN TUM-TO 1.25CM, $297 , 512 ,D7450,  ,  
REM BEN ODONTOGNIC TUM >1.25CM, $407 , 512 ,D7451,  ,  
REM BIL SPACE MAINTAINER," $1,819 ", 512 ,D1525,  ,  
REM CARDIOVRT ELECTRD;THORACOT," $4,478 ", 360 ,33243,  ,  
REM CORNL EPITHEL; W/WO CHEMOC," $2,575 ", 510 ,65435,  ,  
REM CORNL EPITHELIUM; W/CHELAT," $4,773 ", 360 ,65436,  ,  
REM ELECTRODES DUAL LEAD," $9,271 ", 481 ,33235,  ,  
REM ELECTRODES SNGL LEAD," $9,271 ", 481 ,33234,  ,  
REM EPITH DNGRWTH ANT CHAMB EY," $4,158 ", 360 ,65900,  ,  
REM FB CONJUNCTIVAL EMBEDDED, $592 , 510 ,65210,  ,  
REM FB CORNEAL W/SLIT LAMP, $594 , 510 ,65222,  ,  
REM FB ESOPHOGEAL W/BALL," $1,206 ", 320 ,74235,  ,  
REM FB EXT EYE CONJUNC SUPERF, $310 , 510 ,65205,  ,  
REM FB EXTERNAL AUDITORY CANAL, $214 , 510 ,69200,  ,  
REM FB EXTNL EYE CORNL WO SLI, $310 , 510 ,65220,  ,  
REM FB FOOT SUBC," $2,564 ", 510 ,28190,  ,  
REM FB INTRANASL; LAT RHINOTMY," $7,438 ", 361 ,30320,  ,  
REM FB INTRANASL; RQR GEN ANES," $4,872 ", 361 ,30310,  ,  
REM FB MOUTH, $393 , 510 ,40804,  ,  
REM FB MUCOS SKN/SUBQ ALVEOL, $200 , 512 ,D7530,  ,  
REM FB MUSCL/TENDON SHTH SMPL," $2,564 ", 510 ,20520,  ,  
REM FB PELVIS/HIP SPRFCL," $2,564 ", 510 ,27086,  ,  
REM FB UPPER ARM/ELBOW," $2,564 ", 510 ,24200,  ,  
REM GAUNTLET/BOOT/BODY CAST, $401 , 420 ,29700,  ,  
REM GAUNTLET/BOOT/BODY CAST, $401 , 420 ,29700,  , GP 
REM GENERATOR OR LEADS," $9,271 ", 481 ,33244,  ,  
REM HIP PROST;COMP TOT HIP MMC," $5,276 ", 361 ,27091,  ,  
REM IMP TOOTH W MUCOPER FLP," $1,819 ", 512 ,D7210,  ,  
REM IMPLANT DEEP," $6,947 ", 510 ,20680,  ,  
REM IMPLANT INTRA ART PUMP," $9,271 ", 361 ,36262,  ,  
REM IMPLANT SUPERFICIAL," $4,586 ", 510 ,20670,  ,  
REM IMPLNT MATL POST SEGMT; IO," $12,242 ", 360 ,67121,  ,  
REM INFLAT PENIL PROST NO REPL," $8,702 ", 361 ,54406,  ,  
REM INTRA-AORTIC DEVCE-RPR FEM," $2,337 ", 481 ,33971,  ,  
REM INTRATHECAL/EPI CATH," $6,181 ", 361 ,62355,  ,  
REM LENS MAT; PARS PLANA APPRH," $8,618 ", 360 ,66852,  ,  
REM LENS MAT;INTRACAP-DISL LEN," $8,618 ", 360 ,66930,  ,  
REM NASAL FB, $393 , 510 ,30300,  ,  
REM PACMKR/THORACOTOMY DUAL," $3,415 ", 481 ,33237,  ,  
REM PACMKR/THORACOTOMY SNGL," $2,587 ", 481 ,33236,  ,  
REM REINS NONBIODE RX DEL IMPL, $726 , 361 ,11983,  ,  
REM ROD&INSRT FLX TND GFT HND/," $8,915 ", 361 ,26392,  ,  
REM SALIVARY GLAND CALCULUS, $337 , 510 ,42699,  ,  
REM SHLDR/HIP SPICA/MINRV/RSSR, $554 , 420 ,29710,  ,  
REM SUTURE W/ANES SAME SURG," $1,100 ", 510 ,15850,  ,  
REM SUTURES W/ANES OTHER SURG," $1,100 ", 510 ,15851,  ,  
REM UNI SPACE MAINTAINER," $1,819 ", 512 ,D1520,  ,  
REM VENT DEVC; XTRACORP 1 VENT," $4,585 ", 360 ,33977,  ,  
REM VENT DEVC; XTRACORP BIVENT," $4,387 ", 360 ,33978,  ,  
REM WRST PROST;COMP W/TOT WRST," $10,304 ", 361 ,25251,  ,  
REM&REPL INFLAT PNIL PRSTH- OP," $54,091 ", 361 ,54410,  ,  
REM&REPL INFLAT PNIL PRSTH-INF," $3,982 ", 361 ,54411,  ,  
REM&REPL INFLAT SPHNCT INF FLD," $4,188 ", 360 ,53448,  ,  
REM&REPL PENILE PROSTH-INF FLD," $2,946 ", 361 ,54417,  ,  
REM&REPL PENILE PROSTH-SAME OP," $54,091 ", 361 ,54416,  ,  
REMOTE AFTLD RADIONUCLIDE BRACHYTX  > 12 CHANNEL," $6,993 ", 333 ,77787,  ,  
REMOTE AFTLD RADIONUCLIDE BRACHYTX  1 CHANNEL," $2,936 ", 333 ,77785,  ,  
REMOTE AFTLD RADIONUCLIDE BRACHYTX  2-12 CHANNEL," $5,315 ", 333 ,77786,  ,  
REMOTE ALGORITH ALYS ECG COMPUTER PRBLTY ASSMT, $393 , 730 ,0206T,  ,  
REMOTE IMG DX RETINL DIS W/ALYS & REPORT UNI/BI, $214 , 920 ,92227,  ,  
REMOTE IMG MGT RETINL DIS W/I&R UNI/BI, $107 , 920 ,92228,  ,  
REMOV FB FROM DEEP PENILE TISS," $6,278 ", 360 ,54115,  ,  
REMOV FB MUSC/TEND; DEEP/COMP," $6,947 ", 361 ,20525,  ,  
