Procedure_Description,CPT_Code,Gross_Price,Cash_Price
INSERTION OF SKYLA IUD,58300,$505.00 ,$252.50 
INSERTION OF SKYLA IUD,58300,$50.00 ,$25.00 
INSERT INTRAUTERINE DEVI,58300,$505.00 ,$252.50 
PF INSERT INTRAUTERINE DEVICE,58300,$505.00 ,$252.50 
PF INSERT INTRAUTERINE DEVICE,58300,$101.00 ,$50.50 
PF REMOVE INTRAUTERINE DEVICE,58301,$250.00 ,$125.00 
REMOVE INTRAUTERINE DEVICE,58301,$375.00 ,$187.50 
REM DVC INTRAUTERINE,58301,$375.00 ,$187.50 
REMOVE INTRAUTERINE DEVICE,58301,$375.00 ,$187.50 
PF REMOVE INTRAUTERINE DEVICE,58301,$250.00 ,$125.00 
PF REMOVE INTRAUTERINE DEVICE,58301,$50.00 ,$25.00 
HYSTEROSALPINGO  PERFORM,58340,$160.00 ,$80.00 
HYSTEROSONO CATHETER INSERT,58340,$160.00 ,$80.00 
REOPEN FALLOPIAN TUBE,58350,"$9,528.00 ","$4,764.00 "
PF REOPEN FALLOPIAN TUBE,58350,$308.00 ,$154.00 
ENDOMET ABLAT THERM W/O SC,58353,"$9,528.00 ","$4,764.00 "
PF ENDOMET ABLAT THERM W/O SC,58353,"$3,203.00 ","$1,601.50 "
LAPAROSCOPY,58550,"$11,093.00 ","$5,546.50 "
PF LAPAROSCOPY,58550,"$3,060.00 ","$1,530.00 "
PF LAPAROSCOPY,58550,$612.00 ,$306.00 
LAP VAG HYST UTRUS 250,58552,"$12,654.00 ","$6,327.00 "
PF LAP VAG HYST UTRUS 250,58552,"$3,117.00 ","$1,558.50 "
PF LAP VAG HYST UTRUS 250,58552,$623.00 ,$311.50 
LAP W/VAG HYST UTRUS > 250,58553,"$33,399.00 ","$16,699.50 "
PF LAP W/VAG HYST UTRUS > 250,58553,"$4,027.00 ","$2,013.50 "
PF LAP W/VAG HYST UTRUS > 250,58553,$805.00 ,$402.50 
LAP VAG HYST UTRUS>250 GM,58554,"$12,654.00 ","$6,327.00 "
PF LAP VAG HYST UTRUS>250 GM,58554,"$3,974.00 ","$1,987.00 "
PF LAP VAG HYST UTRUS>250 GM,58554,$795.00 ,$397.50 
HYSTEROSCOPY DIAGNOSTIC,58555,"$3,449.00 ","$1,724.50 "
PF HYSTEROSCOPY DX,58555,$685.00 ,$342.50 
HYSTEROSCOPY SURGICAL W/BX,58558,"$3,449.00 ","$1,724.50 "
PF HYSTEROSCOPY SURG W/BX,58558,$977.00 ,$488.50 
PF HYSTEROSCOPY SURG W/BX,58558,$195.00 ,$97.50 
LAPAROSCOPY W/REMO OF LEIOMYO,58561,"$17,800.00 ","$8,900.00 "
PF LAPAROSCOPY W/REMO LEIOMYO,58561,"$2,022.00 ","$1,011.00 "
PF LAPAROSCOPY W/REMO LEIOMYO,58561,$404.00 ,$202.00 
HYSTEROSCOPY REMOVAL F.B.,58562,"$3,449.00 ","$1,724.50 "
PF HYSTEROSCOPY REMOVAL F.B.,58562,$995.00 ,$497.50 
HYSTEROSC SURG; W/ENDOMET,58563,$483.00 ,$241.50 
PF HYSTEROSC SURG; W/ENDOMET,58563,"$5,100.00 ","$2,550.00 "
HYSTC OCCLUSION PLMT PRM,58565,"$13,811.00 ","$6,905.50 "
PF HYSTC OCCLUSION PLMT PRM,58565,"$1,076.00 ",$538.00 
TLH UTERUS 250 G OR LESS,58570,"$31,377.00 ","$15,688.50 "
TLH UTERUS 250 G OR LESS,58570,"$2,661.00 ","$1,330.50 "
TLH W/T/O 250 G OR LESS,58571,"$15,318.00 ","$7,659.00 "
PF TLH W/T/O 250 G OR LESS,58571,"$3,525.00 ","$1,762.50 "
PF TLH W/T/O 250 G OR LESS,58571,$705.00 ,$352.50 
TLH UTERUS OVER 250 G,58572,"$32,103.00 ","$16,051.50 "
TLH UTERUS OVER 250 G,58572,"$3,461.00 ","$1,730.50 "
TLH UTERUS OVER 250 G,58572,$692.00 ,$346.00 
TLH W/T/O/ UTERUS OVER 250 G,58573,"$32,103.00 ","$16,051.50 "
TLH W/T/O/ UTERUS OVER 250 G,58573,"$4,092.00 ","$2,046.00 "
TLH W/T/O/ UTERUS OVER 250 G,58573,$818.00 ,$409.00 
UNLISTED HYSTEROSCOPY UTERUS,58579,"$1,046.00 ",$523.00 
UNLISTED HYSTEROSCOPY UTERUS,58579,$784.00 ,$392.00 
UNLSTD HYSTERSCPY UTERUS,58579,$157.00 ,$78.50 
DIVISION OF FALLOPIAN TUBE,58600,"$5,163.00 ","$2,581.50 "
PF DIVISION FALLOPIAN TUBE,58600,"$1,266.00 ",$633.00 
PF DIVISION FALLOPIAN TUBE,58605,"$1,161.00 ",$580.50 
PF LIGATE OVIDUCT(S) ADD-ON,58611,$281.00 ,$140.50 
OCCLUDE FALLOPIAN TUBE(S),58615,"$5,415.00 ","$2,707.50 "
PF OCCLUDE FALLOPIAN TUBE(S),58615,"$1,030.00 ",$515.00 
LAPAROSCOPY W/LYSIS ADHERSION,58660,"$7,250.00 ","$3,625.00 "
PF LAP W/LYSIS ADHERSION,58660,"$2,412.00 ","$1,206.00 "
LAPAROSCOPY W/RMVL ADNEXAL ST,58661,"$7,250.00 ","$3,625.00 "
PF LAP W/RMV ADNEXAL,58661,"$2,325.00 ","$1,162.50 "
PF LAP W/RMV ADNEXAL,58661,$465.00 ,$232.50 
LAPAROSCOPY W/FULGUR OR EXCIS,58662,"$7,250.00 ","$3,625.00 "
PF LAP W/FULGUR OR EXCIS,58662,"$2,464.00 ","$1,232.00 "
PF LAP W/FULGUR OR EXCIS,58662,$493.00 ,$246.50 
LAPAROSCOPY W/FULGRATION OF O,58670,"$7,250.00 ","$3,625.00 "
PF LAPAROSCOPY W/FULGRATION O,58670,"$1,336.00 ",$668.00 
PF LAPAROSCOPY W/FULGRATION O,58670,$267.00 ,$133.50 
LAPAROSCOPY W/OCCLUSION OF OV,58671,"$7,250.00 ","$3,625.00 "
PF LAPAROSCOPY W/OCCLUSION OV,58671,"$1,338.00 ",$669.00 
PF LAPAROSCOPY W/OCCLUSION OV,58671,$268.00 ,$134.00 
LAPARSCPY SURGICAL; W/SALPI,58673,"$16,193.00 ","$8,096.50 "
LAPARSCPY SURGICAL; W/SALPI,58673,"$2,699.00 ","$1,349.50 "
UNLISTED LAPAROSCOPY OVIDUCT,58679,"$10,281.00 ","$5,140.50 "
PF UNLISTED LAP OVIDUCT,58679,"$1,642.00 ",$821.00 
REMOVAL OF FALLOPIAN TUB,58700,"$3,518.00 ","$1,759.00 "
REMOVAL OF FALLOPIAN TUBE,58700,"$2,638.00 ","$1,319.00 "
REMOVAL OF OVARY/TUBE(S),58720,"$3,269.00 ","$1,634.50 "
PF REMOVAL OVARY/TUBE(S),58720,"$2,444.00 ","$1,222.00 "
PF REMOVAL OVARY/TUBE(S),58720,$489.00 ,$244.50 
REPAIR OVIDUCT,58750,"$4,168.00 ","$2,084.00 "
REPAIR OVIDUCT,58750,"$3,173.00 ","$1,586.50 "
DRNG OF OVARIAN CYST(S) VAGIN,58800,"$10,445.00 ","$5,222.50 "
DRNG OF OVARIAN CYST(S) VAGIN,58800,"$1,026.00 ",$513.00 
REMOVAL OF OVARIAN CYST(S),58925,"$17,800.00 ","$8,900.00 "
PF REMOVAL OVARIAN CYST(S),58925,"$2,410.00 ","$1,205.00 "
OOPHORECTOMY PRL OR TTL UNILA,58940,"$1,787.00 ",$893.50 
UNLISTED PROCEDURE FEMALE GEN,58999,$701.00 ,$350.50 
UNLISTED PROCEDURE FEMALE GEN,58999,"$2,195.00 ","$1,097.50 "
TREAT ECTOPIC PREGNANCY,59150,"$9,887.00 ","$4,943.50 "
PF TREAT ECTOPIC PREGNANCY,59150,"$2,599.00 ","$1,299.50 "
TREAT ECTOPIC PREGNANCY,59151,"$9,887.00 ","$4,943.50 "
PF TREAT ECTOPIC PREGNANCY,59151,"$2,498.00 ","$1,249.00 "
D&C AFTER DELIVERY,59160,"$10,187.00 ","$5,093.50 "
PF D&C AFTER DELIVERY,59160,$731.00 ,$365.50 
LAMINARIA INSERTION,59200,"$1,178.00 ",$589.00 
EPISIOTOMY OR VAGINAL REPAIR,59300,"$10,910.00 ","$5,455.00 "
PF EPISIOTOMY/VAGINAL REPAIR,59300,$485.00 ,$242.50 
REVISION OF CERVIX,59320,"$4,273.00 ","$2,136.50 "
PF REVISION CERVIX,59320,$555.00 ,$277.50 
REVISION OF CERVIX,59320,, $-   
REPAIR OF UTERUS,59350,"$2,098.00 ","$1,049.00 "
VAGINAL DELIVERY ONLY,59409,"$2,757.00 ","$1,378.50 "
VAGINAL DELIVERY ONLY,59409,"$5,415.00 ","$2,707.50 "
VAGINAL DELIVERY ONLY,59409,"$2,757.00 ","$1,378.50 "
ANTEPARTUM MANIPULATION,59412,$344.00 ,$172.00 
ANTEPRTM CARE ONLY;7OR> VISIT,59426,"$2,037.00 ","$1,018.50 "
P4P POSTPARTUM EXAM,59430,$50.00 ,$25.00 
CESAREAN DELIVERY ONLY,59514,"$3,601.00 ","$1,800.50 "
PF CESAREAN DELIVERY ONLY,59514,"$3,253.00 ","$1,626.50 "
REMOVE UTERUS AFTER CESAREAN,59525,"$1,736.00 ",$868.00 
PF VBAC DELIVERY ONLY,59612,"$3,100.00 ","$1,550.00 "
PF CESAREAN FOLLOWING ATT VAG,59620,"$2,010.00 ","$1,005.00 "
PF TREATMENT MISCARRIAGE,59812,$961.00 ,$480.50 
TREATMENT OF MISCARRIAGE,59812,"$8,512.00 ","$4,256.00 "
TREATMENT OF MISCARRIAGE,59812,"$8,512.00 ","$4,256.00 "
PF TREATMENT MISCARRIAGE,59812,$961.00 ,$480.50 
D&C MISSED/INCOMP,59820,"$6,221.00 ","$3,110.50 "
PF D&C MISSED/INCOMP,59820,"$1,211.00 ",$605.50 
CARE OF MISCARRIAGE,59820,"$10,187.00 ","$5,093.50 "
PF CARE MISCARRIAGE,59820,"$1,211.00 ",$605.50 
SURG TX MISSED ABORT; 2ND TRI,59821,"$6,223.00 ","$3,111.50 "
PF TREATMENT MISCARRIAGE,59821,"$1,089.00 ",$544.50 
ABORTION,59840,"$8,512.00 ","$4,256.00 "
PF ABORTION,59840,$786.00 ,$393.00 
ABORTION,59841,"$4,273.00 ","$2,136.50 "
PF ABORTION,59841,"$1,311.00 ",$655.50 
PF ABORTION,59855,"$1,381.00 ",$690.50 
EVACUATE MOLE OF UTERUS,59870,"$10,187.00 ","$5,093.50 "
PF EVACUATE MOLE UTERUS,59870,"$1,431.00 ",$715.50 
UNLST PROC MATERN CARE&DELVRY,59899,$701.00 ,$350.50 
UNLST PROC MATERN CARE&DELVRY,59899,$467.00 ,$233.50 
DRAIN THYROID/TONGUE CYST,60000,"$2,941.00 ","$1,470.50 "
DRAIN THYROID/TONGUE CYST,60000,$524.00 ,$262.00 
US  BX THRYOID PERF,60100,"$1,354.00 ",$677.00 
US  BX THRYOID PERF,60100,$270.00 ,$135.00 
REMOVE THYROID LESION,60200,"$19,276.00 ","$9,638.00 "
REMOVE THYROID LESION,60200,"$2,293.00 ","$1,146.50 "
PARTIAL EXCISION THYROID,60210,"$7,058.00 ","$3,529.00 "
PF PARTIAL EXCISION THYROID,60210,"$2,493.00 ","$1,246.50 "
PARTIAL REMOVAL OF THYROID,60220,"$7,058.00 ","$3,529.00 "
PF PARTIAL REMOVAL THYROID,60220,"$2,705.00 ","$1,352.50 "
PF PARTIAL REMOVAL THYROID,60220,$541.00 ,$270.50 
REMOVAL OF THYROID,60240,"$7,058.00 ","$3,529.00 "
PF REMOVAL THYROID,60240,"$3,600.00 ","$1,800.00 "
PF REMOVAL THYROID,60240,$720.00 ,$360.00 
REMOVAL OF THYROID,60252,"$9,235.00 ","$4,617.50 "
PF REMOVAL THYROID,60252,"$4,555.00 ","$2,277.50 "
PF REMOVAL THYROID,60252,$911.00 ,$455.50 
REPEAT THYROID SURGERY,60260,"$19,087.00 ","$9,543.50 "
PF REPEAT THYROID SURGERY,60260,"$3,974.00 ","$1,987.00 "
PF REPEAT THYROID SURGERY,60260,$795.00 ,$397.50 
EXC THYROGLOSSAL DUCT CYST/SI,60280,"$18,297.00 ","$9,148.50 "
EXC THYROGLOSSAL DUCT CYST/SI,60280,"$1,595.00 ",$797.50 
ASPIR/INJ THYROID CYST,60300,"$2,198.00 ","$1,099.00 "
ASPIR/INJ THYROID CYST,60300,$252.00 ,$126.00 
EXPLORE PARATHYROID GLANDS,60500,"$19,087.00 ","$9,543.50 "
PF EXPLORE PARATHYROID GLANDS,60500,"$3,415.00 ","$1,707.50 "
PF EXPLORE PARATHYROID GLANDS,60500,$683.00 ,$341.50 
"AUTOTRANSPLANT, PARATHYROID",60512,"$1,075.00 ",$537.50 
"AUTOTRANSPLANT, PARATHYROID",60512,$806.00 ,$403.00 
LAP W ADREALECTOMY OR EXPL,60650,"$5,311.00 ","$2,655.50 "
PF LAP SURG W/ADRENALECT PAR,60650,"$3,983.00 ","$1,991.50 "
PF LAP SURG W/ADRENALECT PAR,60650,$797.00 ,$398.50 
MYELO INJ  BY POST FOSSA,61055,"$2,242.00 ","$1,121.00 "
MYELO INJ  BY POST FOSSA,61055,$284.00 ,$142.00 
BURR HOLE W DR HEMATOM,61154,"$5,523.00 ","$2,761.50 "
PF PIERCE SKULL REMOVE CLOT,61154,"$3,704.00 ","$1,852.00 "
PF PIERCE SKULL REMOVE CLOT,61154,$741.00 ,$370.50 
PIERCE SKULL; IMPLANT DE,61210,"$1,555.00 ",$777.50 
PF PIERCE SKULL IMPLANT DEVIC,61210,"$1,167.00 ",$583.50 
PIERCE SKULL; IMPLANT DE,61210,$233.00 ,$116.50 
OPEN SKULL FOR EXPLORATION,61304,"$7,127.00 ","$3,563.50 "
PF OPEN SKULL FOR EXPLORATION,61304,"$5,243.00 ","$2,621.50 "
PF OPEN SKULL FOR EXPLORATION,61304,"$1,049.00 ",$524.50 
CRANIECTOMY; EVAC HEMATOM,61312,"$8,964.00 ","$4,482.00 "
CRANIECTOMY; EVAC HEMATOM,61312,"$6,723.00 ","$3,361.50 "
CRANIECTOMY; EVAC HEMATOM,61312,"$1,345.00 ",$672.50 
CRNECTOMY;EVAC HEMATOM CERBRL,61313,"$8,605.00 ","$4,302.50 "
OPEN SKULL FOR DRAINAGE,61313,"$6,454.00 ","$3,227.00 "
CRNECTOMY;EVAC HEMATOM CERBRL,61313,"$1,291.00 ",$645.50 
CRANIECTOMY SO W LAMIN FOR DE,61343,"$9,461.00 ","$4,730.50 "
PF INCISE SKULL PRESSUR RELIE,61343,"$7,137.00 ","$3,568.50 "
INCISE SKULL PRESSUR RELIE,61343,"$1,427.00 ",$713.50 
REMOVAL OF BRAIN LESION,61510,"$9,461.00 ","$4,730.50 "
PF REMOVAL BRAIN LESION,61510,"$6,827.00 ","$3,413.50 "
PF REMOVAL BRAIN LESION,61510,"$1,365.00 ",$682.50 
REMOVE BRAIN LINING LESI,61512,"$11,002.00 ","$5,501.00 "
PF REMOVE BRAIN LINING LESION,61512,"$8,337.00 ","$4,168.50 "
REMOVAL OF BRAIN LESION,61518,"$11,932.00 ","$5,966.00 "
PF REMOVAL BRAIN LESION,61518,"$8,949.00 ","$4,474.50 "
REMOVAL OF BRAIN LESION,61518,"$1,790.00 ",$895.00 
REMOVAL OF PITUITARY GLA,61548,"$6,883.00 ","$3,441.50 "
PF REMOVAL PITUITARY GLAND,61548,"$5,210.00 ","$2,605.00 "
PF REMOVAL PITUITARY GLAND,61548,"$1,042.00 ",$521.00 
INCISE SKULL; BRAIN BIOP,61750,"$6,119.00 ","$3,059.50 "
PF INCISE SKULL; BRAIN BIOPSY,61750,"$4,589.00 ","$2,294.50 "
ST BX ASP OR EXC INTRCRNIAL L,61750,$918.00 ,$459.00 
BRAIN BIOPSY WITH CAT SC,61751,"$6,000.00 ","$3,000.00 "
PF BRAIN BIOPSY WITH CAT SCAN,61751,"$4,246.00 ","$2,123.00 "
BRAIN BIOPSY WITH CAT SC,61751,$849.00 ,$424.50 
SCAN PROC CRANIAL INTR,61781,"$1,034.00 ",$517.00 
PF SCAN PROC CRANIAL INTRA,61781,$584.00 ,$292.00 
PF SCAN PROC CRANIAL INTRA,61781,$117.00 ,$58.50 
SCAN PROC CRANIAL EXTRA,61782,$835.00 ,$417.50 
PF SCAN PROC CRANIAL EXTRA,61782,$488.00 ,$244.00 
PF NEUROENDO IC EXC PITUIT TU,62165,"$4,772.00 ","$2,386.00 "
ESTABLISH BRAIN CAVITY S,62223,"$4,628.00 ","$2,314.00 "
PF ESTAB BRAIN CAVITY SHUNT,62223,"$3,207.00 ","$1,603.50 "
PF ESTAB BRAIN CAVITY SHUNT,62223,$641.00 ,$320.50 
CT SPNL CORD CYST ASP PERF,62268,"$2,242.00 ","$1,121.00 "
CT SPNL CORD TUMOR BIOSY PERF,62268,"$2,242.00 ","$1,121.00 "
CT SPNL CORD CYST ASP PERF,62268,$994.00 ,$497.00 
CT SPNL CORD TUMOR BIOSY PERF,62268,$977.00 ,$488.50 
PF LUMBAR SPINAL FLUID TAP DX,62270,$266.00 ,$133.00 
SPINAL FLUID TAP DIAGNOSTIC,62270,"$2,497.00 ","$1,248.50 "
LUMBAR PUNCTURE DIAGNOSTIC,62270,"$2,497.00 ","$1,248.50 "
PF LUMBAR SPINAL FLUID TAP DX,62270,$266.00 ,$133.00 
SPINAL FLUID TAP DIAGNOSTIC,62270,"$2,497.00 ","$1,248.50 "
PF LUMBAR SPINAL FLUID TAP DX,62270,$266.00 ,$133.00 
LUMBAR PUNCTURE BY RAD-D,62270,"$1,147.00 ",$573.50 
LUMBAR PUNCTURE BY RAD-D,62270,$266.00 ,$133.00 
SPINAL FLUID TAP DIAGNOSTIC,62270,$266.00 ,$133.00 
NJX EDRL BLD,62273,"$2,767.00 ","$1,383.50 "
PF INJ EPID BLOOD/CLOT PATCH,62273,$390.00 ,$195.00 
MYELO INJ  BY LUMB PUNC,62284,$400.00 ,$200.00 
INJECTION FOR MYELOGRAM,62284,$284.00 ,$142.00 
LUMB DISC INJ PERFORM,62290,$566.00 ,$283.00 
INJ EPIDURAL SUBARACH C/T SGL,62320,"$1,123.00 ",$561.50 
PF INJECTION SINGLE,62320,$328.00 ,$164.00 
NJX INTERLAMINAR CRV/THRC,62321,"$2,768.00 ","$1,384.00 "
NJX INTERLAMINAR CRV/THRC,62321,"$2,767.00 ","$1,383.50 "
NJX INTERLAMINAR CRV/THRC,62321,$371.00 ,$185.50 
NJX INTERLAMINAR CRV/THRC,62321,$670.00 ,$335.00 
PF INJECTION LUMBAR,62322,$270.00 ,$135.00 
NJX INTERLAMINAR LMBR/SAC,62323,"$2,336.00 ","$1,168.00 "
NJX INTERLAMINAR LMBR/SAC,62323,$347.00 ,$173.50 
REMOVAL OF SPINAL LAMINA,63005,"$26,335.00 ","$13,167.50 "
REMOVAL OF SPINAL LAMINA,63005,"$3,947.00 ","$1,973.50 "
REMOVAL OF SPINAL LAMINA,63005,$789.00 ,$394.50 
REMOVAL OF SPINAL LAMINA,63015,"$13,299.00 ","$6,649.50 "
PF REMOVAL SPINAL LAMINA,63015,"$4,746.00 ","$2,373.00 "
REMOVAL SPINAL LAMINA,63015,$949.00 ,$474.50 
NECK SPINE DISK SURGERY,63020,"$24,589.00 ","$12,294.50 "
PF NECK SPINE DISK SURGERY,63020,"$3,732.00 ","$1,866.00 "
LOW BACK DISK SURGERY,63030,"$24,589.00 ","$12,294.50 "
PF LOW BACK DISK SURGERY,63030,"$3,110.00 ","$1,555.00 "
PF LOW BACK DISK SURGERY,63030,$622.00 ,$311.00 
SPINAL DISK SURGERY ADD-ON,63035,"$7,448.00 ","$3,724.00 "
PF SPINAL DISK SURGERY ADD-ON,63035,$704.00 ,$352.00 
PF SPINAL DISK SURGERY ADD-ON,63035,$141.00 ,$70.50 
LAMINOTOMY SINGLE LUMBAR,63042,"$15,166.00 ","$7,583.00 "
PF LOW BACK DISK SURGERY,63042,"$4,347.00 ","$2,173.50 "
PF LOW BACK DISK SURGERY,63042,$869.00 ,$434.50 
LAMINOT REEXPLOR SINGL,63044,$978.00 ,$489.00 
LAMINOT REEXPLOR SINGL,63044,$734.00 ,$367.00 
REMVL OF SPINAL LAMINA SG CRV,63045,"$25,765.00 ","$12,882.50 "
REMVL OF SPINAL LAMINA SG CRV,63045,"$4,271.00 ","$2,135.50 "
REMVL OF SPINAL LAMINA SG CRV,63045,$854.00 ,$427.00 
REMOVAL OF SPINAL LAMINA,63046,"$18,701.00 ","$9,350.50 "
REMOVAL OF SPINAL LAMINA,63046,"$4,091.00 ","$2,045.50 "
REMOVAL OF SPINAL LAMINA,63046,$818.00 ,$409.00 
REMOVAL OF SPINAL LAMINA,63047,"$10,608.00 ","$5,304.00 "
PF REMOVAL SPINAL LAMINA,63047,"$3,710.00 ","$1,855.00 "
PF REMOVAL SPINAL LAMINA,63047,$742.00 ,$371.00 
REMOVE SPINAL LAMINA ADD-ON,63048,"$10,608.00 ","$5,304.00 "
PF REMOVE SPINAL LAMINA ADD-O,63048,$732.00 ,$366.00 
PF REMOVE SPINAL LAMINA ADD-O,63048,$146.00 ,$73.00 
LAMINECTOMY BX IS NEOPL; ID E,63281,"$9,140.00 ","$4,570.00 "
LAMINECTOMY BX IS NEOPL; ID E,63281,"$6,855.00 ","$3,427.50 "
LAMINECTOMY BX IS NEOPL; ID E,63281,"$1,371.00 ",$685.50 
REP DURAL CSF LEAK;W/LMNECTOM,63709,"$4,925.00 ","$2,462.50 "
REP DURAL CSF LEAK;W/LMNECTOM,63709,"$3,694.00 ","$1,847.00 "
"""INJ ANES NRV TRIGEMINAL """,64400,"$1,068.00 ",$534.00 
INJ ANES; GREATER OCC NERVE,64405,$189.00 ,$94.50 
INJ ANES; GREATER OCC NERVE,64405,"$1,143.00 ",$571.50 
FEMORAL N BLOCK SGL,64447,$221.00 ,$110.50 
FEMORAL N BLOCK SGL,64447,"$2,767.00 ","$1,383.50 "
"N BLOCK, OTHER PERIPHERAL",64450,$232.00 ,$116.00 
"N BLOCK, OTHER PERIPHERAL",64450,$522.00 ,$261.00 
INJ ANES NERVE PERIPHERAL,64450,"$2,583.00 ","$1,291.50 "
N BLOCK OTHER PERIPHERAL,64450,$522.00 ,$261.00 
INJECTION FOR NERVE BLOCK,64450,$232.00 ,$116.00 
N BLOCK INJ PLANTAR DIGIT,64455,$117.00 ,$58.50 
N BLOCK INJ PLANTAR DIGIT,64455,"$1,143.00 ",$571.50 
INJ ANES EPIDURL; LUMB/SAC,64483,"$2,676.00 ","$1,338.00 "
PF INJ ANES FACET JT; LUMB/SA,64483,$394.00 ,$197.00 
INJ FORAMEN EPIDURAL ADD-ON,64484,$803.00 ,$401.50 
PF INJ ANES EPIDURL; LUMB/SAC,64484,$232.00 ,$116.00 
INJ ANES FACET JT; CERV/THOR,64490,"$3,534.00 ","$1,767.00 "
PF INJ ANES FACET JT C/T,64490,$482.00 ,$241.00 
INJ PARAVERT F JNT C/T 2 LEV,64491,$319.00 ,$159.50 
PF INJ PARAVRT F JNT C/T 2 LE,64491,$239.00 ,$119.50 
INJ PARAVERT F JNT C/T 3 LEV,64492,$323.00 ,$161.50 
PF INJ PARAVRT F JNT C/T 3 LE,64492,$242.00 ,$121.00 
NJX DX/THER AGT FACET,64493,"$2,485.00 ","$1,242.50 "
PF NJX DX/TX LMBR/SAC 1ST LVL,64493,$324.00 ,$162.00 
NJX DX/THER LMBR/SAC 2ND LVL,64494,$782.00 ,$391.00 
NJX DX/THER LMBR/SAC 2ND LVL,64494,$177.00 ,$88.50 
NJX DX/THER LMB/SAC 3+ LVL,64495,$782.00 ,$391.00 
PF NJX DX/THER LMB/SAC 3+ LVL,64495,$128.00 ,$64.00 
INJ ANESTH; LUMB/THOR,64520,"$2,485.00 ","$1,242.50 "
PF INJECTION FOR NERVE BLOCK,64520,$283.00 ,$141.50 
CHEMODENERV 1 EXTRMTY 1-4,64642,"$2,497.00 ","$1,248.50 "
CHEMODENERV 1 EXTRMTY 1-4,64642,$368.00 ,$184.00 
REVISE FINGER/TOE NERVE,64702,"$6,142.00 ","$3,071.00 "
REVISE FINGER/TOE NERVE,64702,"$1,779.00 ",$889.50 
REVISE ARM/LEG NERVE,64708,"$5,057.00 ","$2,528.50 "
PF REVISE ARM/LEG NERVE,64708,"$1,673.00 ",$836.50 
REVISE ARM/LEG NERVE,64708,$335.00 ,$167.50 
REVISE ULNAR NERVE AT ELBOW,64718,"$6,369.00 ","$3,184.50 "
PF REVISE ULNAR NERVE AT ELBO,64718,"$1,689.00 ",$844.50 
PF REVISE ULNAR NERVE AT ELBO,64718,$338.00 ,$169.00 
REVISE ULNAR NERVE AT WRIST,64719,"$5,057.00 ","$2,528.50 "
PF REVISE ULNAR NERVE AT WRIS,64719,"$1,443.00 ",$721.50 
REVISE ULNAR NERVE AT WRIS,64719,$289.00 ,$144.50 
CARPAL TUNNEL SURGERY,64721,"$2,874.00 ","$1,437.00 "
PF CARPAL TUNNEL SURGERY,64721,"$1,515.00 ",$757.50 
PF CARPAL TUNNEL SURGERY,64721,$303.00 ,$151.50 
DECOMPRESSION UNSPCFD NERVE(S,64722,"$8,121.00 ","$4,060.50 "
DECOMPRESSION UNSPCFD NERVE(S,64722,"$1,274.00 ",$637.00 
INTERNAL NERVE REVISION,64727,"$5,057.00 ","$2,528.50 "
PF INTERNAL NERVE REVISION,64727,$670.00 ,$335.00 
INCISION OF SPINAL NERVE,64772,"$1,799.00 ",$899.50 
REMOVE SKIN NERVE LESION,64774,"$6,293.00 ","$3,146.50 "
REMOVE SKIN NERVE LESION,64774,"$1,465.00 ",$732.50 
REMOVE DIGIT NERVE LESION 1-2,64776,"$5,693.00 ","$2,846.50 "
PF REMOVE DIGIT NERVE LESION,64776,"$1,320.00 ",$660.00 
EXC NEUROMA; MAJ PERIPH NRV,64784,"$7,538.00 ","$3,769.00 "
EXC NEUROMA; MAJ PERIPH NRV,64784,"$2,526.00 ","$1,263.00 "
IMPL NERVE END BONE OR MUSC,64787,"$1,090.00 ",$545.00 
IMPLANT NERVE END,64787,$818.00 ,$409.00 
REMOVE SKIN NERVE LESION,64788,"$6,142.00 ","$3,071.00 "
REMOVE SKIN NERVE LESION,64788,"$1,399.00 ",$699.50 
REMOVAL OF NERVE LESION,64790,"$2,739.00 ","$1,369.50 "
BIOPSY OF NERVE,64795,"$7,201.00 ","$3,600.50 "
BIOPSY OF NERVE,64795,$647.00 ,$323.50 
CT NERVE BIOPSY PERF,64795,"$5,653.00 ","$2,826.50 "
CT NERVE BIOPSY PERF,64795,$660.00 ,$330.00 
REPAIR OF DIGIT NERVE,64831,"$19,699.00 ","$9,849.50 "
PF REPAIR DIGIT NERVE,64831,"$2,459.00 ","$1,229.50 "
REPAIR NERVE ADD-ON,64832,"$10,072.00 ","$5,036.00 "
PF REPAIR NERVE ADD-ON,64832,"$1,254.00 ",$627.00 
REPAIR OF HAND OR FOOT NERVE,64836,"$21,267.00 ","$10,633.50 "
REPAIR OF HAND OR FOOT NERVE,64836,"$2,817.00 ","$1,408.50 "
SURTURE EA ADDTL NERVE H OR F,64837,"$1,649.00 ",$824.50 
REPAIR NERVE ADD-ON,64837,"$1,236.00 ",$618.00 
REPAIR ARM/LEG NERVE,64857,"$10,072.00 ","$5,036.00 "
PF REPAIR ARM/LEG NERVE,64857,"$3,568.00 ","$1,784.00 "
SUTURE EA ADTL MJR PERPH NERV,64859,"$1,121.00 ",$560.50 
SUTURE EA ADTL MJR PERPH NERV,64859,$841.00 ,$420.50 
SUTURE OF FACIAL NRV EXTCRNL,64864,"$26,018.00 ","$13,009.00 "
SUTURE OF FACIAL NRV EXTCRNL,64864,"$3,009.00 ","$1,504.50 "
SUBSEQUENT REPAIR OF NERVE,64872,$534.00 ,$267.00 
